Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
NVDA,Weekly,2020-11-13,17.096926,17.260230,14.836231,15.621909,1996166826.843105,15.621909,15.621909,15.621909,15.621909,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-11-20,15.475641,16.036042,15.349345,15.376073,1824711165.351359,15.498991,15.572742,15.598496,15.607861,-0.125681,-0.025136,-15.736632,-15.736632,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-11-27,15.474172,15.751729,15.137873,15.579908,962936807.990641,15.539449,15.574175,15.596726,15.606264,-0.118521,-0.043813,-15.583229,-15.708741,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-04,15.584314,16.064238,15.240378,15.928837,1079778881.117900,15.734143,15.645107,15.628355,15.624696,0.066752,-0.021700,-15.251197,-15.625551,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-11,15.979355,16.132085,15.065032,15.288547,1118016516.600546,15.511345,15.573795,15.595992,15.605488,-0.116052,-0.040570,-15.099465,-15.529899,Neutral Sell,Neutral Sell ↓ 🔴EXIT,49.000000,50.000000,False,False,,,,False,,,,False,True,Downtrend Starting (Neutral Sell)
NVDA,Weekly,2020-12-18,15.376073,15.818108,15.355806,15.592538,1072658450.110490,15.551941,15.577544,15.595663,15.604748,-0.102602,-0.052977,-14.784714,-15.394411,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-25,15.360800,15.707672,15.201021,15.265637,651723055.594957,15.408789,15.515162,15.564232,15.585370,-0.258461,-0.094074,-14.548462,-15.240602,Neutral,Neutral,49.600000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-01-01,15.346408,15.524103,14.994835,15.337596,680651647.231509,15.373193,15.479649,15.542648,15.571212,-0.341031,-0.143465,-14.244668,-15.059523,Neutral,Neutral,48.900000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-01-08,15.395457,16.039566,14.786594,15.598118,1887768627.827896,15.485656,15.503343,15.547931,15.572749,-0.267976,-0.168367,-13.819836,-14.834125,Neutral,Neutral,49.800000,50.000000,False,True,,,,False,,,,False,False,
NVDA,Weekly,2021-01-15,15.764946,16.402006,15.094991,15.107914,1342374765.716366,15.296785,15.424257,15.506025,15.546187,-0.460027,-0.226699,-13.549979,-14.600644,Neutral,Neutral,49.000000,50.000000,False,False,,,,False,,,,False,False,
