Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
TSLA,Daily,2020-11-09,439.500000,452.500000,421.000000,421.260000,34833025,421.260000,421.260000,421.260000,421.260000,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-10,420.090000,420.090000,396.030000,410.360000,30284224,415.810000,419.080000,420.221905,420.637143,-0.206805,-0.041361,-25.874757,-25.874757,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-11,416.450000,418.690000,410.580000,417.130000,17357722,416.470000,418.690000,419.927438,420.436735,-0.238167,-0.080722,-25.650564,-25.833994,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-12,415.050000,423.000000,409.520000,411.760000,19940500,414.115000,417.304000,419.149586,419.940921,-0.362414,-0.137061,-25.391389,-25.753521,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-13,410.850000,412.530000,401.660000,408.500000,19830351,411.307500,415.543200,418.135340,419.287154,-0.518344,-0.213317,-25.077469,-25.630602,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-16,408.930000,412.450000,404.090000,408.090000,26838635,409.698750,414.052560,417.178641,418.647317,-0.643072,-0.299268,-24.681850,-25.458102,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-17,460.170000,462.000000,433.010000,441.610000,61188281,425.654375,419.564048,419.505437,419.959470,-0.092559,-0.257926,-23.778607,-25.152739,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-18,448.350000,496.000000,443.500000,486.640000,78044024,456.147187,432.979238,425.899205,423.769786,1.179615,0.029582,-22.341463,-24.641598,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-19,492.000000,508.610000,487.570000,499.270000,62475346,477.708594,446.237391,432.886900,428.084084,2.368472,0.497360,-20.857899,-23.953653,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
TSLA,Daily,2020-11-20,497.990000,502.500000,489.060000,489.610000,32911922,483.659297,454.911913,438.289100,431.599851,3.074221,1.012732,-19.582210,-23.158845,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
