Symbol,TimeFrame,Date,Close,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD
AMZN,Weekly,2023-11-17,145.18,Neutral,Neutral,50.0,50.0
AMZN,Weekly,2023-11-24,146.74,Neutral Buy,Neutral Buy ↑,50.0,50.0
AMZN,Weekly,2023-12-01,147.03,Neutral,Neutral,50.0,50.0
AMZN,Weekly,2023-12-08,147.42,Neutral,Neutral,50.0,50.0
AMZN,Weekly,2023-12-15,149.97,Neutral,Neutral,50.0,50.0
AMZN,Weekly,2023-12-22,153.42,Neutral,Neutral,50.3,50.0
AMZN,Weekly,2023-12-29,151.94,Neutral,Neutral,50.0,50.0
AMZN,Weekly,2024-01-05,145.24,Neutral,Neutral,49.8,50.0
AMZN,Weekly,2024-01-12,154.62,Neutral,Neutral,50.5,50.0
AMZN,Weekly,2024-01-19,155.34,Neutral,Neutral,50.0,50.0
AMZN,Weekly,2024-01-26,159.12,Neutral,Neutral,50.1,50.0
AMZN,Weekly,2024-02-02,171.81,Neutral,Neutral,52.9,50.0
AMZN,Weekly,2024-02-09,174.45,Neutral,Neutral,49.6,100.0
AMZN,Weekly,2024-02-16,169.51,Neutral,Neutral,52.7,92.85714285714286
AMZN,Weekly,2024-02-23,174.99,Neutral,Neutral,53.1,100.0
AMZN,Weekly,2024-03-01,178.22,Neutral,Neutral,52.2,100.0
AMZN,Weekly,2024-03-08,175.35,Neutral,Neutral,51.6,94.11764705882352
AMZN,Weekly,2024-03-15,174.42,Neutral,Neutral,52.2,88.88888888888889
AMZN,Weekly,2024-03-22,178.87,Neutral,Neutral,51.5,89.47368421052632
AMZN,Weekly,2024-03-29,180.38,Neutral,Neutral,51.2,95.0
AMZN,Weekly,2024-04-05,185.07,Neutral,Neutral,54.4,100.0
AMZN,Weekly,2024-04-12,186.13,Neutral,Neutral,54.5,95.45454545454545
AMZN,Weekly,2024-04-19,174.63,Neutral,Neutral,52.7,78.26086956521739
AMZN,Weekly,2024-04-26,179.62,Neutral,Neutral,52.3,95.83333333333334
AMZN,Weekly,2024-05-03,186.21,Neutral,Neutral,51.4,100.0
AMZN,Weekly,2024-05-10,187.48,Neutral,Neutral,46.7,96.15384615384616
AMZN,Weekly,2024-05-17,184.7,Neutral,Neutral,53.4,92.5925925925926
AMZN,Weekly,2024-05-24,180.75,Neutral,Neutral,51.0,89.28571428571429
AMZN,Weekly,2024-05-31,176.44,Neutral Sell,Neutral Sell ↓,49.0,75.86206896551724
AMZN,Weekly,2024-06-07,184.3,Neutral Buy,Neutral Buy ↑,51.8,90.0
AMZN,Weekly,2024-06-14,183.66,Neutral,Neutral,51.2,74.19354838709677
AMZN,Weekly,2024-06-21,189.08,Neutral,Neutral,52.3,90.625
AMZN,Weekly,2024-06-28,193.25,Neutral,Neutral,54.0,93.93939393939394
AMZN,Weekly,2024-07-05,200.0,Neutral,Neutral,55.3,100.0
AMZN,Weekly,2024-07-12,194.49,Strong Buy,Strong Buy ↑ ✓ 🔵BUY,50.8,91.42857142857143
AMZN,Weekly,2024-07-19,183.13,Neutral,Neutral 🔴EXIT,49.6,80.55555555555556
AMZN,Weekly,2024-07-26,182.5,Neutral Sell,Neutral Sell ↓ 🔴EXIT,49.2,75.67567567567568
AMZN,Weekly,2024-08-02,167.9,Neutral,Neutral 🔴EXIT,43.7,52.63157894736842
AMZN,Weekly,2024-08-09,166.94,Neutral,Neutral 🔴EXIT,43.4,82.05128205128204
AMZN,Weekly,2024-08-16,177.06,Neutral,Neutral 🔴EXIT,46.3,95.0
AMZN,Weekly,2024-08-23,177.04,Neutral,Neutral 🔴EXIT,45.0,82.92682926829268
AMZN,Weekly,2024-08-30,178.5,Neutral,Neutral 🔴EXIT,47.3,97.61904761904762
AMZN,Weekly,2024-09-06,171.39,Neutral,Neutral 🔴EXIT,48.1,79.06976744186046
