Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
BE,Weekly,2025-05-09,33766220,16.91,17.72,16.05,17.62,17.62,17.62,17.62,17.62,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-05-16,29063308,18.61,20.29,18.45,20.11,18.865000000000002,18.118000000000002,17.857142857142858,17.762285714285714,1.115634240946277,0.2231268481892554,0.8925073927570215,141.3166855845629,141.3166855845629,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
BE,Weekly,2025-05-23,20947499,19.25,19.58,17.01,19.48,19.1725,18.390400000000003,18.01170068027211,17.86044081632653,1.682991789340512,0.5150998364195067,1.1678919529210052,140.40322323933847,141.1506015217948,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-05-30,14566256,19.73,19.95,18.16,18.47,18.82125,18.406320000000004,18.05534823453191,17.8952727696793,1.661264394649865,0.7443327480655784,0.9169316465842867,138.60546958180197,140.68785025997792,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-06-06,27997838,18.55,21.82,18.12,21.78,20.300625,19.081056000000004,18.4100769741003,18.117257182840483,3.0498125586532208,1.205428710183107,1.8443838484701138,137.2841301304366,140.06899205460675,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-06-13,19584476,22.0,22.72,21.36,21.95,21.1253125,19.654844800000003,18.747212500376463,18.33627105810674,4.135305444153175,1.7914040569771208,2.3439013871760546,135.4699760270567,139.23280732232493,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-06-20,17623963,22.36,23.0,20.93,21.75,21.43765625,20.073875840000003,19.03319226224537,18.531341283357783,4.8256261644032765,2.398248478462352,2.4273776859409244,133.15480416972878,138.1277158400347,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-06-27,21626310,21.8,23.07,21.43,22.18,21.808828124999998,20.495100672000003,19.33288823726962,18.739836067165907,5.461882098854598,3.0109752025408016,2.4509068963137968,130.5765769518152,136.75478149672207,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-07-04,31593482,24.65,24.91,21.52,24.24,23.0244140625,21.244080537600002,19.800232214672516,19.05413114904214,6.6767289305266635,3.7441259481379747,2.9326029823886888,128.1740171245093,135.19464251995612,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-07-11,59188030,23.99,29.44,23.75,25.4,24.21220703125,22.075264430080004,20.333543432322752,19.41675222623973,7.933070818017246,4.581914922113829,3.3511558959034167,125.69606662844652,133.4676287214998,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
BE,Weekly,2025-07-18,31350861,25.6,26.49,24.04,24.99,24.601103515625,22.658211544064006,20.777015486387253,19.73522352759746,8.613950072177886,5.388321952126641,3.225628120051245,122.82819994047799,131.53318712495036,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,36.36363636363637
BE,Weekly,2025-07-25,73482430,25.38,34.78,24.39,34.34,29.4705517578125,24.99456923525121,22.068728297207517,20.569782183163316,12.221887046330238,6.755034970967361,5.466852075362877,121.70735861675604,129.7466728507332,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
