Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
CLFD,Daily,2025-05-12,233325,35.88,36.59,33.52,36.36,36.36,36.36,36.36,36.36,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-13,232827,36.62,38.15,36.09,37.73,37.045,36.634,36.490476190476194,36.43828571428571,0.299734801898432,0.0599469603796864,0.2397878415187456,37.67876787678759,37.67876787678759,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
CLFD,Daily,2025-05-14,323451,37.86,37.93,36.41,37.47,37.2575,36.8012,36.583764172335606,36.49724081632653,0.4733002685947208,0.1426176220226933,0.3306826465720275,37.44294863873285,37.63589165168673,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-15,436656,37.47,39.37,36.52,38.97,38.113749999999996,37.23496,36.81102472735126,36.638541341107874,0.9273011766450234,0.29955433294715933,0.6277468436978642,37.255140543684824,37.56666417750456,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-16,245745,39.03,39.87,38.66,38.85,38.481875,37.557968,37.00521284855591,36.76491040733028,1.2428317719738342,0.4882098207524943,0.7546219512213399,36.8812493285693,37.44204329587997,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-19,171658,38.39,39.17,37.78,39.03,38.7559375,37.8523744,37.198049720122015,36.89434409833997,1.511388610231783,0.6928455786483521,0.818543031583431,36.39113569927553,37.25096918740643,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-20,102980,38.97,39.18,38.35,38.78,38.76796875,38.03789952,37.34871165153897,37.00209586414912,1.6491615817681844,0.8841087792723186,0.7650528024958658,35.745898577243025,36.97731998555854,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-21,143477,38.41,38.97,37.54,37.81,38.288984375,37.992319616,37.39264387520193,37.04826181476917,1.5322433960227366,1.013735702622402,0.5185076934003345,34.873070074441806,36.59472909262822,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-22,160763,37.56,39.06,37.49,38.89,38.5894921875,38.1718556928,37.535249220420795,37.15350399678236,1.6508513932693307,1.1411588407517879,0.5096925525175429,34.09385842742962,36.14002533531938,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
CLFD,Daily,2025-05-23,135568,37.91,38.67,37.82,38.3,38.44474609375,38.197484554240006,37.608082627999764,37.219018054109085,1.5998418125183216,1.2328954351050947,0.3669463774132269,33.16736353571362,35.5995413717547,True,True,False,False,False,False,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
