Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
EXPE,Daily,2025-05-12,3188578,164.23,169.12,163.3,167.25,167.25,167.25,167.25,167.25,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-13,2875692,168.58,173.66,167.42,169.37,168.31,167.674,167.45190476190479,167.37114285714287,0.1010213262895274,0.02020426525790548,0.08081706103162192,12.67563527653226,12.67563527653226,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
EXPE,Daily,2025-05-14,2124567,169.92,171.88,168.7,169.22,168.765,167.9832,167.62029478458052,167.47679183673472,0.17173235020624125,0.050509882247572635,0.12122246795866862,12.603882523744812,12.662589321479995,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-15,1797171,169.15,170.18,165.62,166.21,167.4875,167.62856,167.48598099557285,167.40440373177844,0.08197109708418067,0.05680212521489425,0.02516897186928642,12.381769044026203,12.611531089215669,True,True,True,False,False,False,False,True,Neutral Sell,False,False,,,,False,,,,,,,False,False,,Neutral Sell ↓,50.0,50.0
EXPE,Daily,2025-05-16,1759800,164.97,167.09,164.3,166.66,167.07375000000002,167.434848,167.40731613885163,167.36186637567684,0.03208168776043879,0.05185803772400316,-0.019776349963564366,12.140786622373463,12.52594118615345,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-19,1825600,164.07,166.29,163.69,165.49,166.281875,167.04587840000002,167.22471460181814,167.25490258278103,-0.06320606687183279,0.028845216804835976,-0.09205128367666876,11.833486471418311,12.400040328928878,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-20,4099136,164.16,165.32,160.85,162.52,164.4009375,166.14070272000004,166.77664654450214,166.98433672090783,-0.2794099690496382,-0.03280582036605886,-0.24660414868357936,11.413332161476525,12.22063884393754,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-21,1973656,160.95,164.1,158.45,159.34,161.87046875,164.78056217600002,166.06839449264479,166.5475174797131,-0.5995200621228116,-0.14614866871740942,-0.4533713934054022,10.890395252682916,11.978776372800334,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-22,2635329,158.99,161.42,156.05,160.72,161.295234375,163.96844974080003,165.5590235885834,166.21451648087233,-0.7785135615293254,-0.2726216472797926,-0.5058919142495328,10.431749853052262,11.697498823755229,False,False,False,False,True,True,True,True,Neutral,False,True,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Daily,2025-05-23,1269795,156.69,160.05,156.18,158.98,160.13761718749998,162.97075979264002,164.93244991348018,165.8011155391082,-0.9954423705540899,-0.4171857919346521,-0.5782565786194378,9.92736221482153,11.375655803949101,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
