Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
EXPE,Weekly,2025-05-09,15761438,160.21,172.89,148.55,156.66,156.66,156.66,156.66,156.66,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-05-16,11745808,164.23,173.66,163.3,166.66,161.66,158.66,157.61238095238096,157.23142857142858,0.5068087951598234,0.10136175903196468,0.4054470361278587,63.83250351078762,63.83250351078762,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
EXPE,Weekly,2025-05-23,11803516,164.07,166.29,156.05,158.98,160.32,158.724,157.74263038548753,157.3313469387755,0.5084985371621482,0.1827891146580014,0.3257094225041468,63.25094612039334,63.7267658034432,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-05-30,7551836,161.25,171.79,161.01,166.75,163.535,160.3292,158.60047511067918,157.8695556851312,0.89393933547454,0.32501915882130916,0.5689201766532308,62.67793875288683,63.536069976069314,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-06-06,8935266,165.17,176.78,163.22,176.55,170.04250000000002,163.57336,160.3099536715669,158.93700964598085,1.6672920163873444,0.5934737303345162,1.0738182860528283,62.16763180096868,63.287263035141926,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-06-13,5985749,176.74,177.91,164.5,165.63,167.83625,163.984688,160.81662475046528,159.31946623763906,1.7094008336514699,0.816659150997907,0.8927416826535629,61.07538645144055,62.88510365628713,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-06-20,7291607,168.33,169.34,161.29,164.88,166.358125,164.1637504,161.2036128694686,159.63721102405967,1.6853917369616067,0.990405668190647,0.6949860687709597,59.79495695097654,62.32325880077611,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-06-27,9232436,163.58,171.12,160.0,170.76,168.55906249999998,165.48300032000003,162.11374497713825,160.27279896554197,1.9335924781254608,1.1790430301776098,0.754549447947851,58.57314731382587,61.64142034860333,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-07-04,7153801,170.81,178.62,167.35,176.48,172.51953125,167.68240025600002,163.48195974122032,161.19892473893955,2.3787161114686346,1.4189776464358148,0.9597384650328198,57.396437802963625,60.8696053403052,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
EXPE,Weekly,2025-07-11,7359495,176.4,186.16,175.66,183.64,178.079765625,170.87392020480004,165.40177309919935,162.48127189671442,3.033350669899982,1.7418522511286483,1.2914984187713339,56.30192005550548,60.03911710670525,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
EXPE,Weekly,2025-07-18,6333621,183.64,185.06,177.0,184.93,181.5048828125,173.68513616384007,167.26160423260893,163.7640563597593,3.558576355970855,2.1051970720970896,1.4533792838737654,55.10593104547371,59.14217418648133,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,100.0
EXPE,Weekly,2025-07-25,7219233,185.18,193.79,184.0,187.34,184.42244140625002,176.41610893107207,169.1738324009319,165.1112531392016,4.028624310434855,2.489882519764643,1.5387417906702123,53.861347986598425,58.1820239683208,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,91.66666666666666
