Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
FTI,Daily,2020-11-10,7.670000,7.690000,7.120000,7.280000,11824820,7.280000,7.280000,7.280000,7.280000,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-11,7.320000,7.320000,6.860000,7.020000,7904548,7.150000,7.228000,7.255238,7.265143,-0.285656,-0.057131,-35.714286,-35.714286,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-12,6.870000,7.140000,6.790000,6.880000,5625860,7.015000,7.158400,7.219501,7.243135,-0.662594,-0.178224,-35.630840,-35.699114,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-13,7.100000,7.310000,7.040000,7.310000,5773452,7.162500,7.188720,7.228120,7.246956,-0.474842,-0.237547,-35.040325,-35.579334,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-16,7.920000,8.220000,7.600000,8.200000,9658546,7.681250,7.390976,7.320680,7.301415,0.651701,-0.059698,-33.706147,-35.238755,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-17,7.950000,8.140000,7.830000,8.070000,7639616,7.875625,7.526781,7.392044,7.345334,1.370827,0.226407,-32.471639,-34.735643,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-18,8.520000,8.750000,8.240000,8.280000,10090849,8.077813,7.677425,7.476611,7.398744,2.130373,0.607200,-31.107263,-34.075937,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-19,8.200000,8.480000,8.100000,8.480000,4777837,8.278906,7.837940,7.572172,7.460530,2.895400,1.064840,-29.649016,-33.271042,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-20,8.380000,8.430000,8.210000,8.260000,3811166,8.269453,7.922352,7.637679,7.506214,3.221562,1.496185,-28.383342,-32.382370,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-23,8.400000,8.900000,8.370000,8.860000,7210518,8.564727,8.109881,7.754091,7.583573,4.038447,2.004637,-26.767315,-31.361451,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
FTI,Daily,2020-11-24,9.360000,9.840000,9.320000,9.670000,10239923,9.117363,8.421905,7.936558,7.702798,5.402426,2.684195,-24.761084,-30.161384,Neutral,Neutral,50.000000,50.000000,True,False,,,,False,,,,False,False,
FTI,Daily,2020-11-25,9.090000,9.100000,8.850000,9.060000,10466256,9.088682,8.549524,8.043553,7.780352,5.778333,3.303023,-23.249520,-28.904681,Neutral,Neutral,50.000000,50.000000,False,False,9.840000,9.348000,10.332000,False,-7.926829,9.052800,0.787200,False,False,
FTI,Daily,2020-11-27,9.160000,9.230000,8.880000,8.970000,4207592,9.029341,8.633619,8.131786,7.848332,5.906668,3.823752,-21.887438,-27.628819,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,9.840000,9.348000,10.332000,False,-8.841463,9.052800,0.787200,False,True,Stop Loss Hit ($9.05)
FTI,Daily,2020-11-30,9.000000,9.000000,8.280000,8.310000,7745083,8.669670,8.568895,8.148759,7.874713,5.309016,4.120805,-20.997041,-26.423041,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,9.840000,9.348000,10.332000,False,-15.548780,9.052800,0.787200,False,True,Stop Loss Hit ($9.05)
FTI,Daily,2020-12-01,8.680000,8.790000,8.540000,8.620000,6273359,8.644835,8.579116,8.193639,7.917301,5.074355,4.311515,-19.927726,-25.242075,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,9.840000,9.348000,10.332000,False,-12.398374,9.052800,0.787200,False,True,Stop Loss Hit ($9.05)
