Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
GOOGL,Daily,2020-11-12,84.959075,86.079832,84.762528,84.999067,27154725.347611,84.999067,84.999067,84.999067,84.999067,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-13,85.251701,86.672400,84.665474,86.434885,30507414.723929,85.716976,85.286231,85.135812,85.081114,0.134584,0.026917,16.892163,16.892163,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-16,86.038865,87.511749,85.901818,86.521210,26109636.991195,86.119093,85.533227,85.267754,85.163405,0.246281,0.070790,16.808071,16.876874,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-17,86.220293,86.672888,85.812080,85.917913,21857950.185270,86.018503,85.610164,85.329674,85.206520,0.274469,0.111525,16.610390,16.828422,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-18,85.673082,86.080808,84.791790,84.892746,20614239.680363,85.455625,85.466680,85.288062,85.188590,0.197692,0.128759,16.290454,16.730610,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-19,84.531353,86.007164,84.374798,85.767210,20613481.032743,85.611418,85.526786,85.333695,85.221654,0.216959,0.146399,15.985378,16.595113,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-20,85.934495,86.244678,84.617678,84.684982,28404628.057415,85.148200,85.358425,85.271913,85.190987,0.128479,0.142815,15.573350,16.409338,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.000000,50.000000,False,False,,,,False,,,,False,True,Downtrend Starting (Neutral Sell)
GOOGL,Daily,2020-11-23,84.872263,85.153671,83.407182,84.254822,23120667.888655,84.701511,85.137705,85.175047,85.137492,0.017360,0.117724,15.111999,16.173458,Neutral,Neutral,50.000000,50.000000,False,True,,,,False,,,,False,False,
GOOGL,Daily,2020-11-24,84.251896,86.152501,83.921716,86.027160,27894365.769054,85.364335,85.315596,85.256201,85.188330,0.095968,0.113373,14.749116,15.914487,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-25,86.217854,86.343196,85.269258,86.038377,20093028.261488,85.701356,85.460152,85.330694,85.236904,0.157410,0.122180,14.361686,15.632160,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-27,86.058373,87.641967,86.058373,87.154745,15162843.931487,86.428051,85.799071,85.504413,85.346495,0.307731,0.159290,14.023293,15.339638,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
GOOGL,Daily,2020-11-30,86.600219,86.828955,85.243898,85.563835,33234650.397597,85.995943,85.752024,85.510072,85.358914,0.273594,0.182151,13.563358,15.016678,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
