Symbol,TimeFrame,Date,Close,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD
GOOGL,Weekly,2023-11-17,135.31,Neutral,Neutral,50.0,50.0
GOOGL,Weekly,2023-11-24,136.69,Neutral Buy,Neutral Buy ↑,50.0,50.0
GOOGL,Weekly,2023-12-01,131.86,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.0,50.0
GOOGL,Weekly,2023-12-08,134.99,Neutral,Neutral,50.0,50.0
GOOGL,Weekly,2023-12-15,132.6,Neutral,Neutral,49.0,50.0
GOOGL,Weekly,2023-12-22,141.49,Neutral Buy,Neutral Buy ↑,50.1,50.0
GOOGL,Weekly,2023-12-29,139.69,Neutral,Neutral,50.5,50.0
GOOGL,Weekly,2024-01-05,135.73,Neutral,Neutral,50.2,50.0
GOOGL,Weekly,2024-01-12,142.65,Neutral,Neutral,51.4,50.0
GOOGL,Weekly,2024-01-19,146.38,Neutral,Neutral,50.4,50.0
GOOGL,Weekly,2024-01-26,152.19,Neutral,Neutral,50.9,50.0
GOOGL,Weekly,2024-02-02,142.38,Neutral,Neutral,50.2,50.0
GOOGL,Weekly,2024-02-09,149.0,Neutral,Neutral,47.9,100.0
GOOGL,Weekly,2024-02-16,140.52,Neutral,Neutral 🔴EXIT,47.6,78.57142857142857
GOOGL,Weekly,2024-02-23,143.96,Neutral,Neutral,47.4,86.66666666666667
GOOGL,Weekly,2024-03-01,137.14,Neutral Sell,Neutral Sell ↓ 🔴EXIT,47.4,62.5
GOOGL,Weekly,2024-03-08,135.41,Neutral,Neutral 🔴EXIT,46.0,82.35294117647058
GOOGL,Weekly,2024-03-15,141.18,Neutral,Neutral 🔴EXIT,49.8,88.88888888888889
GOOGL,Weekly,2024-03-22,150.77,Neutral Buy,Neutral Buy ↑,50.0,100.0
GOOGL,Weekly,2024-03-29,150.93,Neutral,Neutral,50.8,100.0
GOOGL,Weekly,2024-04-05,152.5,Neutral,Neutral,52.8,95.23809523809523
GOOGL,Weekly,2024-04-12,157.73,Neutral,Neutral,53.6,100.0
GOOGL,Weekly,2024-04-19,154.09,Neutral,Neutral,52.2,86.95652173913044
GOOGL,Weekly,2024-04-26,171.95,Neutral,Neutral,55.1,100.0
GOOGL,Weekly,2024-05-03,167.24,Neutral,Neutral,54.9,100.0
GOOGL,Weekly,2024-05-10,168.65,Neutral,Neutral,49.0,96.15384615384616
GOOGL,Weekly,2024-05-17,176.06,Neutral,Neutral,58.8,100.0
GOOGL,Weekly,2024-05-24,174.99,Neutral,Neutral,55.7,96.42857142857143
GOOGL,Weekly,2024-05-31,172.5,Neutral,Neutral,58.0,93.10344827586206
GOOGL,Weekly,2024-06-07,174.46,Neutral,Neutral,58.3,90.0
GOOGL,Weekly,2024-06-14,176.79,Neutral,Neutral,57.4,93.54838709677419
GOOGL,Weekly,2024-06-21,179.63,Neutral,Neutral,55.3,100.0
GOOGL,Weekly,2024-06-28,182.15,Neutral,Neutral,56.6,96.96969696969697
GOOGL,Weekly,2024-07-05,190.6,Neutral,Neutral,59.3,100.0
GOOGL,Weekly,2024-07-12,185.07,Strong Buy,Strong Buy ↑,53.9,88.57142857142857
GOOGL,Weekly,2024-07-19,177.66,Neutral,Neutral,52.8,75.0
GOOGL,Weekly,2024-07-26,167.0,Neutral Sell,Neutral Sell ↓ 🔴EXIT,46.8,64.86486486486487
GOOGL,Weekly,2024-08-02,166.66,Neutral,Neutral 🔴EXIT,50.1,60.526315789473685
GOOGL,Weekly,2024-08-09,163.67,Neutral,Neutral 🔴EXIT,48.2,69.23076923076923
GOOGL,Weekly,2024-08-16,162.96,Neutral,Neutral 🔴EXIT,47.0,77.5
GOOGL,Weekly,2024-08-23,165.62,Neutral,Neutral 🔴EXIT,47.5,73.17073170731707
GOOGL,Weekly,2024-08-30,163.38,Neutral,Neutral 🔴EXIT,48.1,71.42857142857143
