Symbol,TimeFrame,Date,Close,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD
HOOD,Weekly,2023-11-17,8.1,Neutral,Neutral,50.0,50.0
HOOD,Weekly,2023-11-24,8.29,Neutral Buy,Neutral Buy ↑,50.0,50.0
HOOD,Weekly,2023-12-01,9.32,Neutral,Neutral,50.0,50.0
HOOD,Weekly,2023-12-08,11.73,Neutral,Neutral,50.0,50.0
HOOD,Weekly,2023-12-15,11.69,Neutral,Neutral,58.1,50.0
HOOD,Weekly,2023-12-22,12.95,Neutral,Neutral,60.4,50.0
HOOD,Weekly,2023-12-29,12.74,Neutral,Neutral,56.5,50.0
HOOD,Weekly,2024-01-05,11.89,Neutral,Neutral 🔴EXIT,50.3,50.0
HOOD,Weekly,2024-01-12,11.02,Neutral,Neutral 🔴EXIT,48.8,50.0
HOOD,Weekly,2024-01-19,10.71,Neutral,Neutral 🔴EXIT,46.3,50.0
HOOD,Weekly,2024-01-26,10.79,Neutral,Neutral 🔴EXIT,46.2,50.0
HOOD,Weekly,2024-02-02,10.92,Neutral,Neutral 🔴EXIT,47.7,50.0
HOOD,Weekly,2024-02-09,11.55,Neutral,Neutral 🔴EXIT,48.0,61.53846153846154
HOOD,Weekly,2024-02-16,14.0,Neutral,Neutral,67.9,100.0
HOOD,Weekly,2024-02-23,14.48,Neutral,Neutral,68.7,100.0
HOOD,Weekly,2024-03-01,16.58,Neutral,Neutral,72.7,100.0
HOOD,Weekly,2024-03-08,17.0,Neutral,Neutral,65.8,100.0
HOOD,Weekly,2024-03-15,18.15,Neutral,Neutral,65.1,100.0
HOOD,Weekly,2024-03-22,18.3,Neutral,Neutral,61.1,100.0
HOOD,Weekly,2024-03-29,20.13,Neutral,Neutral,62.8,100.0
HOOD,Weekly,2024-04-05,18.4,Neutral,Neutral 🔴EXIT,60.3,95.23809523809523
HOOD,Weekly,2024-04-12,17.97,Neutral,Neutral 🔴EXIT,61.4,81.81818181818183
HOOD,Weekly,2024-04-19,16.63,Neutral,Neutral 🔴EXIT,59.8,73.91304347826086
HOOD,Weekly,2024-04-26,17.88,Neutral,Neutral 🔴EXIT,60.5,79.16666666666666
HOOD,Weekly,2024-05-03,17.95,Neutral,Neutral 🔴EXIT,61.7,92.0
HOOD,Weekly,2024-05-10,16.23,Neutral Sell,Neutral Sell ↓ 🔴EXIT,51.1,61.53846153846154
HOOD,Weekly,2024-05-17,20.09,Neutral Buy,Neutral Buy ↑,86.8,96.29629629629629
HOOD,Weekly,2024-05-24,20.51,Neutral,Neutral,85.6,100.0
HOOD,Weekly,2024-05-31,20.9,Neutral,Neutral,79.0,93.10344827586206
HOOD,Weekly,2024-06-07,22.18,Neutral,Neutral,76.8,93.33333333333333
HOOD,Weekly,2024-06-14,22.42,Neutral,Neutral,70.7,64.51612903225806
HOOD,Weekly,2024-06-21,22.29,Neutral,Neutral,65.8,78.125
HOOD,Weekly,2024-06-28,22.71,Neutral,Neutral,65.0,93.93939393939394
HOOD,Weekly,2024-07-05,22.68,Neutral,Neutral,67.5,100.0
HOOD,Weekly,2024-07-12,22.28,Neutral,Neutral,68.3,88.57142857142857
HOOD,Weekly,2024-07-19,23.41,Neutral,Neutral,78.0,72.22222222222221
HOOD,Weekly,2024-07-26,21.2,Neutral,Neutral 🔴EXIT,68.3,54.054054054054056
HOOD,Weekly,2024-08-02,17.88,Neutral Sell,Neutral Sell ↓ 🔴EXIT,57.5,44.73684210526316
HOOD,Weekly,2024-08-09,17.92,Neutral,Neutral 🔴EXIT,58.1,92.3076923076923
HOOD,Weekly,2024-08-16,19.98,Neutral,Neutral 🔴EXIT,52.3,100.0
HOOD,Weekly,2024-08-23,21.12,Neutral,Neutral 🔴EXIT,55.2,100.0
HOOD,Weekly,2024-08-30,20.12,Neutral,Neutral 🔴EXIT,51.7,97.61904761904762
HOOD,Weekly,2024-09-06,18.94,Neutral,Neutral 🔴EXIT,49.9,93.02325581395348
HOOD,Weekly,2024-09-13,22.07,Neutral Buy,Neutral Buy ↑ 🔴EXIT,53.8,97.72727272727273
HOOD,Weekly,2024-09-20,22.73,Neutral,Neutral 🔴EXIT,53.9,95.55555555555556
HOOD,Weekly,2024-09-27,23.89,Neutral,Neutral,54.6,100.0
HOOD,Weekly,2024-10-04,22.89,Neutral,Neutral,55.8,97.87234042553192
HOOD,Weekly,2024-10-11,26.27,Strong Buy,Strong Buy ↑,61.5,100.0
HOOD,Weekly,2024-10-18,26.83,Strong Buy,Strong Buy,63.6,100.0
HOOD,Weekly,2024-10-25,27.06,Strong Buy,Strong Buy,63.6,100.0
HOOD,Weekly,2024-11-01,23.97,Strong Buy,Strong Buy ✓ 🔵BUY,61.2,94.11764705882352
HOOD,Weekly,2024-11-08,30.54,Strong Buy,Strong Buy,66.9,100.0
HOOD,Weekly,2024-11-15,32.32,Strong Buy,Strong Buy *,99.0,98.07692307692307
HOOD,Weekly,2024-11-22,36.65,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2024-11-29,37.54,Strong Buy,Strong Buy *,99.0,98.07692307692307
HOOD,Weekly,2024-12-06,41.67,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2024-12-13,40.2,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2024-12-20,38.33,Strong Buy,Strong Buy *,99.0,98.07692307692307
HOOD,Weekly,2024-12-27,39.02,Strong Buy,Strong Buy *,99.0,98.07692307692307
HOOD,Weekly,2025-01-03,41.35,Neutral,Neutral *,99.0,100.0
HOOD,Weekly,2025-01-10,40.08,Neutral,Neutral *,99.0,98.07692307692307
HOOD,Weekly,2025-01-17,48.15,Strong Buy,Strong Buy ↑ *,99.0,100.0
HOOD,Weekly,2025-01-24,51.12,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2025-01-31,51.95,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2025-02-07,55.86,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2025-02-14,65.28,Strong Buy,Strong Buy *,99.0,100.0
HOOD,Weekly,2025-02-21,51.6,Strong Buy,Strong Buy * 🔴EXIT,99.0,98.07692307692307
HOOD,Weekly,2025-02-28,50.1,Neutral,Neutral * 🔴EXIT,99.0,98.07692307692307
HOOD,Weekly,2025-03-07,44.42,Neutral Sell,Neutral Sell ↓ 🔴EXIT,99.0,92.3076923076923
HOOD,Weekly,2025-03-14,39.24,Neutral,Neutral * 🔴EXIT,99.0,96.15384615384616
HOOD,Weekly,2025-03-21,44.36,Neutral,Neutral * 🔴EXIT,99.0,100.0
HOOD,Weekly,2025-03-28,41.92,Neutral,Neutral * 🔴EXIT,99.0,96.15384615384616
HOOD,Weekly,2025-04-04,34.51,Neutral,Neutral 🔴EXIT,94.1,86.53846153846155
HOOD,Weekly,2025-04-11,43.68,Neutral,Neutral * 🔴EXIT,99.0,100.0
HOOD,Weekly,2025-04-18,41.18,Neutral,Neutral * 🔴EXIT,99.0,96.15384615384616
HOOD,Weekly,2025-04-25,49.45,Neutral Buy,Neutral Buy ↑ * 🔴EXIT,99.0,100.0
