Symbol,TimeFrame,Date,Close,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD
META,Weekly,2023-11-17,335.04,Neutral,Neutral,50.0,50.0
META,Weekly,2023-11-24,338.23,Neutral Buy,Neutral Buy ↑,50.0,50.0
META,Weekly,2023-12-01,324.82,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.0,50.0
META,Weekly,2023-12-08,332.75,Neutral,Neutral,50.0,50.0
META,Weekly,2023-12-15,334.92,Neutral,Neutral,49.4,50.0
META,Weekly,2023-12-22,353.39,Neutral Buy,Neutral Buy ↑,50.3,50.0
META,Weekly,2023-12-29,353.96,Neutral,Neutral,51.1,50.0
META,Weekly,2024-01-05,351.95,Neutral,Neutral,51.2,50.0
META,Weekly,2024-01-12,374.49,Neutral,Neutral,52.2,50.0
META,Weekly,2024-01-19,383.45,Neutral,Neutral,51.4,50.0
META,Weekly,2024-01-26,394.14,Neutral,Neutral,51.4,50.0
META,Weekly,2024-02-02,474.99,Neutral,Neutral,56.1,50.0
META,Weekly,2024-02-09,468.11,Neutral,Neutral,51.9,100.0
META,Weekly,2024-02-16,473.32,Neutral,Neutral,60.3,100.0
META,Weekly,2024-02-23,484.03,Neutral,Neutral,60.3,100.0
META,Weekly,2024-03-01,502.3,Neutral,Neutral,59.1,100.0
META,Weekly,2024-03-08,505.95,Neutral,Neutral,59.5,100.0
META,Weekly,2024-03-15,484.1,Neutral,Neutral,57.6,88.88888888888889
META,Weekly,2024-03-22,509.58,Neutral,Neutral,57.5,100.0
META,Weekly,2024-03-29,485.58,Neutral,Neutral,53.9,80.0
META,Weekly,2024-04-05,527.34,Neutral,Neutral,58.5,100.0
META,Weekly,2024-04-12,511.9,Neutral,Neutral,57.6,81.81818181818183
META,Weekly,2024-04-19,481.07,Neutral,Neutral 🔴EXIT,54.6,65.21739130434783
META,Weekly,2024-04-26,443.29,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.6,54.166666666666664
META,Weekly,2024-05-03,451.96,Neutral,Neutral 🔴EXIT,45.8,72.0
META,Weekly,2024-05-10,476.2,Neutral,Neutral 🔴EXIT,44.1,84.61538461538461
META,Weekly,2024-05-17,471.91,Neutral,Neutral 🔴EXIT,52.7,85.18518518518519
META,Weekly,2024-05-24,478.22,Neutral,Neutral 🔴EXIT,55.1,100.0
META,Weekly,2024-05-31,466.83,Neutral,Neutral 🔴EXIT,54.1,96.55172413793103
META,Weekly,2024-06-07,492.96,Neutral Buy,Neutral Buy ↑,55.8,100.0
META,Weekly,2024-06-14,504.16,Neutral,Neutral,57.9,100.0
META,Weekly,2024-06-21,494.78,Neutral,Neutral,53.7,84.375
META,Weekly,2024-06-28,504.22,Neutral,Neutral,56.1,81.81818181818183
META,Weekly,2024-07-05,539.91,Neutral,Neutral,57.5,94.11764705882352
