Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
MP,Daily,2020-11-11,13.310000,13.740000,12.910000,13.290000,1741830,13.290000,13.290000,13.290000,13.290000,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-12,13.500000,13.950000,13.490000,13.660000,1421369,13.475000,13.364000,13.325238,13.311143,0.221632,0.044326,27.840482,27.840482,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-13,14.130000,14.140000,13.320000,13.890000,1325834,13.682500,13.469200,13.379025,13.344220,0.528837,0.141229,27.782265,27.829897,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-16,14.430000,14.500000,13.380000,14.000000,1133444,13.841250,13.575360,13.438165,13.381694,0.826796,0.278342,27.627424,27.793083,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-17,13.850000,14.430000,13.610000,14.390000,1148187,14.115625,13.738288,13.528816,13.439311,1.277394,0.478153,27.496328,27.739128,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-18,17.100000,17.500000,15.000000,15.090000,4908559,14.602813,14.008630,13.677500,13.533636,2.015780,0.785678,27.496204,27.694960,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-19,15.750000,16.870000,15.450000,15.730000,3912126,15.166406,14.352904,13.872977,13.659143,2.921602,1.212863,27.575019,27.673153,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-20,16.630000,17.110000,16.020000,16.750000,2965551,15.958203,14.832323,14.146979,13.835763,4.140844,1.798459,27.839558,27.703408,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-23,17.500000,19.120000,17.120000,18.800000,4470941,17.379102,15.625859,14.590124,14.119434,6.099244,2.658616,28.565862,27.860218,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-24,21.500000,24.170000,20.700000,22.230000,7229505,19.804551,16.946687,15.317731,14.582895,9.179126,3.962718,30.000672,28.249391,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-25,22.350000,22.400000,20.760000,22.290000,2832997,21.047275,18.015350,15.981757,15.023301,11.293705,5.428915,31.082260,28.764458,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
MP,Daily,2020-11-27,23.030000,24.550000,21.410000,21.710000,2190105,21.378638,18.754280,16.527304,15.405398,12.405452,6.824223,31.704343,29.298983,Neutral,Neutral,50.000000,50.000000,True,False,,,,False,,,,False,False,
MP,Daily,2020-11-30,21.990000,22.500000,18.500000,21.520000,3594155,21.449319,19.307424,17.002799,15.754804,12.959904,8.051359,32.021858,29.794051,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,24.550000,23.322500,25.777500,False,-12.342159,22.586000,1.964000,False,True,Stop Loss Hit ($22.59)
MP,Daily,2020-12-01,22.180000,22.350000,20.030000,20.550000,1950623,20.999659,19.555939,17.340627,16.028815,12.775847,8.996257,31.885257,30.174270,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,24.550000,23.322500,25.777500,False,-16.293279,22.586000,1.964000,False,True,Stop Loss Hit ($22.59)
MP,Daily,2020-12-02,19.950000,21.450000,18.890000,20.910000,2132512,20.954830,19.826751,17.680567,16.307740,12.609812,9.718968,31.692516,30.450315,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,24.550000,23.322500,25.777500,False,-14.826884,22.586000,1.964000,False,True,Stop Loss Hit ($22.59)
MP,Daily,2020-12-03,21.230000,22.350000,20.880000,22.110000,2034501,21.532415,20.283401,18.102418,16.639297,12.798880,10.334950,31.663778,30.670945,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,24.550000,23.322500,25.777500,False,-9.938900,22.586000,1.964000,False,True,Stop Loss Hit ($22.59)
MP,Daily,2020-12-04,22.100000,23.250000,22.000000,23.060000,1752958,22.296207,20.838721,18.574569,17.006195,13.134577,10.894875,31.699027,30.857869,Neutral,Neutral,50.000000,50.000000,False,False,24.550000,23.322500,25.777500,False,-6.069246,22.586000,1.964000,False,False,
MP,Daily,2020-12-07,25.000000,27.810000,24.700000,27.680000,6155595,24.988104,22.206977,19.441753,17.616126,14.943119,11.704524,32.621465,31.178522,Neutral,Neutral,50.000000,50.000000,False,False,24.550000,23.322500,25.777500,False,12.749491,22.586000,1.964000,False,False,
MP,Daily,2020-12-08,29.630000,29.850000,26.000000,26.210000,5782346,25.599052,23.007581,20.086348,18.107205,15.486747,12.460969,32.956095,31.501718,Neutral,Neutral,50.000000,50.000000,True,False,24.550000,23.322500,25.777500,False,6.761711,22.586000,1.964000,False,False,
MP,Daily,2020-12-09,27.440000,28.220000,24.900000,26.130000,3201751,25.864526,23.632065,20.661934,18.565650,15.625037,13.093782,33.051516,31.783499,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,29.850000,28.357500,31.342500,False,-12.462312,27.462000,2.388000,False,True,Stop Loss Hit ($27.46)
MP,Daily,2020-12-10,24.820000,26.520000,24.300000,25.140000,2885671,25.502263,23.933652,21.088416,18.941328,15.158420,13.506710,32.757714,31.960629,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,29.850000,28.357500,31.342500,False,-15.778894,27.462000,2.388000,False,True,Stop Loss Hit ($27.46)
MP,Daily,2020-12-11,24.500000,27.420000,24.480000,26.430000,3641341,25.966131,24.432922,21.597138,19.369252,15.028271,13.811022,32.604835,32.077757,Neutral,Neutral 🔴EXIT,68.700000,50.000000,False,False,29.850000,28.357500,31.342500,False,-11.457286,27.462000,2.388000,False,True,Stop Loss Hit ($27.46)
MP,Daily,2020-12-14,27.050000,27.340000,25.800000,26.300000,2065122,26.133066,24.806337,22.045030,19.765294,14.671657,13.983149,32.275664,32.113740,Neutral,Neutral 🔴EXIT,67.800000,50.000000,False,False,29.850000,28.357500,31.342500,False,-11.892797,27.462000,2.388000,False,True,Stop Loss Hit ($27.46)
MP,Daily,2020-12-15,26.180000,26.880000,25.200000,25.680000,1834599,25.906533,24.981070,22.391218,20.103278,13.994957,13.985511,31.698886,32.038312,Neutral,Neutral 🔴EXIT,66.300000,50.000000,False,False,29.850000,28.357500,31.342500,False,-13.969849,27.462000,2.388000,False,True,Stop Loss Hit ($27.46)
MP,Daily,2020-12-16,25.500000,28.480000,25.490000,28.230000,6743938,27.068266,25.630856,22.947292,20.567662,14.110316,14.010472,31.563704,31.952020,Neutral,Neutral,69.400000,50.000000,False,False,29.850000,28.357500,31.342500,False,-5.427136,27.462000,2.388000,False,False,
MP,Daily,2020-12-17,30.800000,33.750000,30.500000,32.620000,15983729,29.844133,27.028685,23.868502,21.256367,15.341704,14.276718,32.103983,31.979649,Neutral,Neutral,74.000000,50.000000,False,False,29.850000,28.357500,31.342500,False,9.279732,27.462000,2.388000,False,False,
MP,Daily,2020-12-18,32.800000,33.430000,30.800000,32.510000,5958915,31.177067,28.124948,24.691502,21.899432,15.966073,14.614589,32.377945,32.052067,Neutral,Neutral,72.000000,50.000000,False,False,29.850000,28.357500,31.342500,False,8.911223,27.462000,2.388000,False,False,
MP,Daily,2020-12-21,32.250000,37.000000,31.900000,35.720000,6748775,33.448533,29.643958,25.741835,22.689178,17.077604,15.107192,32.963161,32.217720,Neutral,Neutral,74.200000,50.000000,False,False,29.850000,28.357500,31.342500,False,19.664992,27.462000,2.388000,False,False,
