Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
MSFT,Daily,2025-05-12,22821935,445.94,449.37,439.78,449.26,449.26,449.26,449.26,449.26,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-13,23618819,447.78,450.67,445.36,449.14,449.2,449.236,449.2485714285714,449.25314285714285,-0.0021308015352292133,-0.00042616030704584266,-0.0017046412281833706,-0.26710590749234875,-0.26710590749234875,False,False,False,False,True,True,True,True,Neutral Sell,False,False,,,,False,,,,,,,False,False,,Neutral Sell ↓,50.0,50.0
MSFT,Daily,2025-05-14,19902796,448.14,453.9,448.14,452.94,451.07,449.9768,449.60013605442174,449.46382040816326,0.06366071086753364,0.012391213927870053,0.05126949693966358,-0.2209274973091352,-0.2587098329135826,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
MSFT,Daily,2025-05-15,21992323,450.76,456.19,450.43,453.13,452.1,450.60744,449.9363135730482,449.6733163848396,0.11778201288697182,0.03346937371969041,0.0843126391672814,-0.1780797600025682,-0.24404981965703454,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-16,23849781,452.05,454.36,448.73,454.27,453.185,451.339952,450.3490456137103,449.9359840199916,0.1789584196627396,0.06256718290830024,0.11639123675443935,-0.12721296824040793,-0.22280675576310244,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-19,21336509,450.88,459.58,450.8,458.87,456.02750000000003,452.8459616,451.1605650790712,450.4464992188492,0.30599926823965373,0.11125359997457095,0.19474566826508277,-0.02949690328532182,-0.1876595098580514,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-20,15441808,455.59,458.34,454.32,458.17,457.09875,453.91076928000007,451.82813030963587,450.8878421206293,0.3893858597671788,0.16688005193309252,0.2225058078340863,0.0460859267268198,-0.145160339569893,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-21,19216906,454.57,457.78,451.81,452.57,454.834375,453.6426154240001,451.898784565861,450.98396542802186,0.35151700203353614,0.20380744195318123,0.1477095600803549,0.04575790362707385,-0.11044793171589902,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-22,18025612,454.95,460.25,453.9,454.86,454.8471875,453.8860923392001,452.180805083398,451.2054531178492,0.3581698940862542,0.23467993237979584,0.12348996170645837,0.07200794111613067,-0.07727413665552997,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
MSFT,Daily,2025-05-23,16883509,449.98,453.69,448.91,450.18,452.51359375000004,453.1448738713601,451.9902522183125,451.14685579682924,0.27686711866081737,0.24311736963600017,0.0337497490248172,0.039619015287518176,-0.05602083630224849,False,True,False,False,True,False,True,True,Neutral Sell,False,False,,,,False,,,,,,,False,False,,Neutral Sell ↓,50.0,50.0
MSFT,Daily,2025-05-27,20974293,456.48,460.95,456.12,460.69,456.601796875,454.65389909708813,452.81879962609224,451.6921783227247,0.3950225809132491,0.27349841189144997,0.12152416902179913,0.1352580974680448,-0.02124284834401334,True,True,True,True,False,False,False,False,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
MSFT,Daily,2025-05-28,17086261,461.22,462.52,456.93,457.36,456.9808984375,455.1951192776705,453.25129489979776,452.0160538471404,0.42432126047201885,0.3036629816075638,0.12065827886445507,0.17802087880089446,0.014986920227788077,True,True,True,True,False,False,False,False,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
