Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
NVDA,Daily,2020-11-18,13.424269,13.564342,13.144873,13.387880,510924000,13.387880,13.387880,13.387880,13.387880,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-11-19,13.172541,13.446454,13.060134,13.399348,565936000,13.393614,13.390174,13.388973,13.388536,0.006833,0.001367,0.856591,0.856591,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-11-20,13.413057,13.453433,13.025240,13.047921,341088000,13.220768,13.321723,13.356491,13.369072,-0.197650,-0.038437,0.713290,0.830536,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.000000,50.000000,False,False,,,,False,,,,False,True,Downtrend Starting (Neutral Sell)
NVDA,Daily,2020-11-23,13.131167,13.341773,12.975890,13.100012,361356000,13.160390,13.277381,13.332065,13.353697,-0.324995,-0.095748,0.608190,0.790109,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-11-24,13.102504,13.121945,12.845788,12.918317,346500000,13.039353,13.205568,13.292660,13.328818,-0.530710,-0.182741,0.441778,0.726776,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-11-25,12.992837,13.229116,12.980376,13.194471,259916000,13.116912,13.203349,13.283309,13.321141,-0.520093,-0.250211,0.410348,0.669244,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-11-27,13.334296,13.366698,13.130418,13.220892,167276000,13.168902,13.206857,13.277364,13.315413,-0.489958,-0.298160,0.391915,0.618820,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-11-30,13.224632,13.371683,12.932772,13.360716,286952000,13.264809,13.237629,13.285303,13.318001,-0.376564,-0.313841,0.430047,0.584498,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-12-01,13.451191,13.487580,13.187993,13.349252,296948000,13.307030,13.259954,13.291393,13.319787,-0.290365,-0.309146,0.455816,0.561101,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-12-02,13.309871,13.631888,13.193975,13.503281,283360000,13.405156,13.308619,13.311573,13.330273,-0.127113,-0.272739,0.536474,0.556624,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-12-03,13.550149,13.622450,13.292360,13.359176,199520000,13.382166,13.318730,13.316106,13.331924,-0.084294,-0.235050,0.546092,0.554709,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-12-04,13.411534,13.522728,13.351948,13.520983,202244000,13.451574,13.359181,13.335618,13.342727,0.047023,-0.178636,0.615506,0.565763,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Daily,2020-12-07,13.563864,13.693506,13.462892,13.569348,223244000,13.510461,13.401214,13.357878,13.355677,0.177996,-0.107309,0.690491,0.588441,Neutral,Neutral,50.000000,50.000000,True,False,,,,False,,,,False,False,
NVDA,Daily,2020-12-08,13.547658,13.561370,13.244992,13.313304,271920000,13.411883,13.383632,13.353633,13.353256,0.125719,-0.060704,0.651073,0.599828,Neutral,Neutral,50.000000,50.000000,False,False,13.693506,13.008831,14.378182,True,-2.776516,12.598026,1.095481,False,False,
NVDA,Daily,2020-12-09,13.263941,13.377129,12.832879,12.895207,401300000,13.153545,13.285947,13.309974,13.327082,-0.166922,-0.081947,0.447785,0.572184,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,13.693506,13.008831,14.378182,False,-5.829763,12.598026,1.095481,False,False,
NVDA,Daily,2020-12-10,12.833627,13.032828,12.814180,12.936593,207764000,13.045069,13.216076,13.274414,13.304768,-0.370545,-0.139667,0.288688,0.520640,Neutral,Neutral,50.000000,50.000000,False,False,13.693506,13.008831,14.378182,False,-5.527535,12.598026,1.095481,False,False,
NVDA,Daily,2020-12-11,12.931606,12.984211,12.787752,12.977480,209264000,13.011274,13.168357,13.246134,13.286066,-0.501909,-0.212115,0.167935,0.456511,Neutral,Neutral,50.000000,50.000000,False,True,13.693506,13.008831,14.378182,False,-5.228949,12.598026,1.095481,False,False,
NVDA,Daily,2020-12-14,13.052023,13.351946,13.041552,13.272166,270156000,13.141720,13.189119,13.248613,13.285272,-0.421397,-0.253972,0.184009,0.406966,Neutral,Neutral,50.000000,50.000000,False,False,13.693506,13.008831,14.378182,True,-3.076934,12.598026,1.095481,False,False,
