Symbol,TimeFrame,Date,Open,High,Low,Close,Volume,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PMO_Line,PMO_Signal,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD,Peak,Valley,Buy_Point,Buy_Zone_Lower,Buy_Zone_Upper,In_Buy_Zone,Distance_From_BP,Stop_Loss,Risk_Per_Share,Buy_Signal,Exit_Signal,Exit_Reason
NVDA,Weekly,2020-11-22,13.424270,13.564343,13.025238,13.047919,1417948000,13.047919,13.047919,13.047919,13.047919,0.000000,0.000000,,,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-11-29,13.131165,13.366696,12.845786,13.220890,1135048000,13.134405,13.082513,13.064393,13.057803,0.105647,0.021129,13.256579,13.256579,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-06,13.224632,13.631887,12.932772,13.520983,1269024000,13.327694,13.170207,13.107877,13.084271,0.369540,0.090811,13.306536,13.265662,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-13,13.563865,13.693507,12.787753,12.977481,1313492000,13.152587,13.131662,13.095459,13.078168,0.241363,0.120922,13.066136,13.229385,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-20,13.052024,13.426990,13.034573,13.235519,1259736000,13.194053,13.152433,13.108798,13.087160,0.295046,0.155747,12.896787,13.168912,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2020-12-27,13.038809,13.333247,12.903187,12.958035,764940000,13.076044,13.113554,13.094440,13.079781,0.165024,0.157602,12.572915,13.060549,Neutral Sell,Neutral Sell ↓,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-01-03,13.026596,13.177428,12.728169,13.019114,800756000,13.047579,13.094666,13.087266,13.076315,0.098360,0.145754,12.254583,12.914010,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-01-10,13.068229,13.614973,12.551402,13.240254,2217832000,13.143917,13.123784,13.101836,13.085683,0.179648,0.152533,12.007602,12.749208,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,True,,,,False,,,,False,False,
NVDA,Weekly,2021-01-17,13.381865,13.922625,12.813183,12.824152,1580748000,12.984034,13.063857,13.075390,13.070738,-0.012169,0.119592,11.566745,12.534215,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.000000,50.000000,False,False,,,,False,,,,False,True,Downtrend Starting (Neutral Sell)
NVDA,Weekly,2021-01-24,12.980470,13.960769,12.808693,13.674807,1069360000,13.329421,13.186047,13.132477,13.105256,0.355308,0.166735,11.479798,12.342503,Neutral Buy,Neutral Buy ↑,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-01-31,13.743865,13.790486,12.758580,12.954043,1286232000,13.141732,13.139646,13.115484,13.096616,0.201024,0.173593,11.065887,12.110391,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-02-07,13.017371,13.893457,12.867284,13.553640,1053544000,13.347686,13.222445,13.157213,13.122731,0.441435,0.227162,10.898554,11.890057,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-02-14,13.689517,15.249218,13.689517,14.920125,2033120000,14.133906,13.561981,13.325109,13.225439,1.440333,0.469796,11.231346,11.770291,Neutral,Neutral,50.000000,50.000000,False,False,,,,False,,,,False,False,
NVDA,Weekly,2021-02-21,15.022841,15.330244,14.534935,14.885469,1102308000,14.509688,13.826679,13.473715,13.320298,2.169588,0.809754,11.444000,11.710966,Neutral,Neutral,50.000000,50.000000,True,False,,,,False,,,,False,False,
NVDA,Weekly,2021-02-28,14.734140,15.091655,13.179921,13.676803,2491352000,14.093245,13.796704,13.493057,13.340670,2.003087,1.048421,11.135545,11.606344,Neutral,Neutral 🔴EXIT,50.000000,50.000000,False,False,15.330244,14.563732,16.096756,False,-10.785488,14.103825,1.226420,False,True,Stop Loss Hit ($14.10)
NVDA,Weekly,2021-03-07,13.836864,13.886726,11.647144,12.427244,2111076000,13.260245,13.522812,13.391551,13.288474,1.115341,1.061805,10.329649,11.374217,Neutral Sell,Neutral Sell ↓ 🔴EXIT,50.000000,50.000000,False,False,15.330244,14.563732,16.096756,False,-18.936424,14.103825,1.226420,False,True,Stop Loss Hit ($14.10)
