Symbol,TimeFrame,Date,Volume,Open,High,Low,Close
SPY,Daily,2025-10-24,74356527,676.46,678.47,675.65,677.25
SPY,Daily,2025-10-27,63339790,682.73,685.54,682.12,685.24
SPY,Daily,2025-10-28,61738073,687.05,688.9,684.83,687.06
SPY,Daily,2025-10-29,85362207,688.72,689.7,682.87,687.39
SPY,Daily,2025-10-30,76335751,683.9,685.94,679.83,679.83
SPY,Daily,2025-10-31,87164122,685.04,685.08,679.24,682.06
SPY,Daily,2025-11-03,57315025,685.67,685.8,679.94,683.34
SPY,Daily,2025-11-04,78426969,676.11,679.96,674.58,675.24
SPY,Daily,2025-11-05,72763485,674.98,680.86,674.17,677.58
SPY,Daily,2025-11-06,85035298,676.47,677.38,668.72,670.31
SPY,Daily,2025-11-07,100592443,667.91,671.08,661.21,670.97
SPY,Daily,2025-11-10,75842888,677.24,682.18,675.03,681.44
SPY,Daily,2025-11-11,58953385,679.95,683.57,678.73,683.0
SPY,Daily,2025-11-12,62312484,684.79,684.96,680.95,683.38
SPY,Daily,2025-11-13,103457788,680.5,680.86,670.52,672.04
SPY,Daily,2025-11-14,96846672,665.38,675.66,663.26,671.93
SPY,Daily,2025-11-17,90456105,669.7,673.71,662.17,665.67
SPY,Daily,2025-11-18,114467488,662.1,665.12,655.86,660.08
SPY,Daily,2025-11-19,94702955,660.78,667.34,658.75,662.63
SPY,Daily,2025-11-20,165293521,672.91,675.56,651.89,652.53
SPY,Daily,2025-11-21,123956203,655.05,664.55,650.85,659.03
