Symbol,TimeFrame,Date,Close,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD
TSLA,Weekly,2023-11-17,234.3,Neutral,Neutral,50.0,50.0
TSLA,Weekly,2023-11-24,235.45,Neutral Buy,Neutral Buy ↑,50.0,50.0
TSLA,Weekly,2023-12-01,238.83,Neutral,Neutral,50.0,50.0
TSLA,Weekly,2023-12-08,243.84,Neutral,Neutral,50.0,50.0
TSLA,Weekly,2023-12-15,253.5,Neutral,Neutral,51.0,50.0
TSLA,Weekly,2023-12-22,252.54,Neutral,Neutral,50.8,50.0
TSLA,Weekly,2023-12-29,248.48,Neutral,Neutral,50.1,50.0
TSLA,Weekly,2024-01-05,237.49,Neutral,Neutral 🔴EXIT,49.5,50.0
TSLA,Weekly,2024-01-12,218.89,Neutral Sell,Neutral Sell ↓ 🔴EXIT,47.2,50.0
TSLA,Weekly,2024-01-19,212.19,Neutral,Neutral 🔴EXIT,46.6,50.0
TSLA,Weekly,2024-01-26,183.25,Neutral,Neutral 🔴EXIT,44.0,50.0
TSLA,Weekly,2024-02-02,187.91,Neutral,Neutral 🔴EXIT,45.2,50.0
TSLA,Weekly,2024-02-09,193.57,Neutral,Neutral 🔴EXIT,44.8,23.076923076923077
TSLA,Weekly,2024-02-16,199.95,Neutral,Neutral 🔴EXIT,43.6,42.857142857142854
TSLA,Weekly,2024-02-23,191.97,Neutral,Neutral 🔴EXIT,44.7,33.33333333333333
TSLA,Weekly,2024-03-01,202.64,Neutral,Neutral 🔴EXIT,45.9,50.0
TSLA,Weekly,2024-03-08,175.34,Neutral,Neutral 🔴EXIT,40.4,17.647058823529413
TSLA,Weekly,2024-03-15,163.57,Neutral,Neutral 🔴EXIT,37.9,16.666666666666664
TSLA,Weekly,2024-03-22,170.83,Neutral,Neutral 🔴EXIT,39.3,10.526315789473683
TSLA,Weekly,2024-03-29,175.79,Neutral,Neutral 🔴EXIT,38.9,5.0
TSLA,Weekly,2024-04-05,164.9,Neutral,Neutral 🔴EXIT,40.8,4.761904761904762
TSLA,Weekly,2024-04-12,171.05,Neutral,Neutral 🔴EXIT,45.8,4.545454545454546
TSLA,Weekly,2024-04-19,147.05,Neutral,Neutral 🔴EXIT,42.0,4.3478260869565215
TSLA,Weekly,2024-04-26,168.29,Neutral,Neutral 🔴EXIT,47.4,12.5
TSLA,Weekly,2024-05-03,181.19,Neutral,Neutral 🔴EXIT,50.8,8.0
TSLA,Weekly,2024-05-10,168.47,Neutral,Neutral 🔴EXIT,42.3,3.8461538461538463
TSLA,Weekly,2024-05-17,177.46,Neutral Buy,Neutral Buy ↑ 🔴EXIT,42.3,11.11111111111111
TSLA,Weekly,2024-05-24,179.24,Neutral,Neutral 🔴EXIT,41.0,7.142857142857142
TSLA,Weekly,2024-05-31,178.08,Neutral,Neutral 🔴EXIT,38.6,10.344827586206897
TSLA,Weekly,2024-06-07,177.48,Neutral,Neutral 🔴EXIT,42.2,13.333333333333334
TSLA,Weekly,2024-06-14,178.01,Neutral,Neutral 🔴EXIT,41.8,6.451612903225806
