Symbol,TimeFrame,Date,Close,TR_Status,TR_Status_Enhanced,RS,Chaikin_AD
UBER,Weekly,2023-11-17,54.44,Neutral,Neutral,50.0,50.0
UBER,Weekly,2023-11-24,55.32,Neutral Buy,Neutral Buy ↑,50.0,50.0
UBER,Weekly,2023-12-01,57.35,Neutral,Neutral,50.0,50.0
UBER,Weekly,2023-12-08,61.7,Neutral,Neutral,50.0,50.0
UBER,Weekly,2023-12-15,61.86,Neutral,Neutral,52.1,50.0
UBER,Weekly,2023-12-22,61.71,Neutral,Neutral,51.6,50.0
UBER,Weekly,2023-12-29,61.57,Neutral,Neutral,50.8,50.0
UBER,Weekly,2024-01-05,57.58,Neutral,Neutral,48.8,50.0
UBER,Weekly,2024-01-12,63.2,Neutral,Neutral,50.3,50.0
UBER,Weekly,2024-01-19,65.11,Neutral,Neutral,50.8,50.0
UBER,Weekly,2024-01-26,65.52,Neutral,Neutral,50.4,50.0
UBER,Weekly,2024-02-02,68.07,Neutral,Neutral,52.8,50.0
UBER,Weekly,2024-02-09,70.91,Neutral,Neutral,49.4,100.0
UBER,Weekly,2024-02-16,78.41,Neutral,Neutral,60.2,100.0
UBER,Weekly,2024-02-23,78.2,Neutral,Neutral,59.3,100.0
UBER,Weekly,2024-03-01,81.03,Neutral,Neutral,59.1,100.0
UBER,Weekly,2024-03-08,78.7,Neutral,Neutral,55.3,94.11764705882352
UBER,Weekly,2024-03-15,76.07,Neutral,Neutral,52.3,77.77777777777779
UBER,Weekly,2024-03-22,80.23,Neutral,Neutral,54.2,89.47368421052632
UBER,Weekly,2024-03-29,76.99,Neutral,Neutral,51.2,75.0
UBER,Weekly,2024-04-05,77.16,Neutral,Neutral,54.2,80.95238095238095
UBER,Weekly,2024-04-12,75.28,Neutral,Neutral 🔴EXIT,52.8,81.81818181818183
UBER,Weekly,2024-04-19,69.2,Neutral Sell,Neutral Sell ↓ 🔴EXIT,49.3,60.86956521739131
UBER,Weekly,2024-04-26,69.05,Neutral,Neutral 🔴EXIT,48.9,58.333333333333336
UBER,Weekly,2024-05-03,69.23,Neutral,Neutral 🔴EXIT,47.9,64.0
UBER,Weekly,2024-05-10,66.99,Neutral,Neutral 🔴EXIT,41.9,53.84615384615385
UBER,Weekly,2024-05-17,65.67,Neutral,Neutral 🔴EXIT,45.0,48.148148148148145
UBER,Weekly,2024-05-24,64.26,Neutral,Neutral 🔴EXIT,44.0,42.857142857142854
