Symbol,TimeFrame,Date,Volume,Open,High,Low,Close,EMA_3,EMA_9,EMA_20,EMA_34,PPO_Line,PPO_Signal,PPO_Histogram,PMO_Line,PMO_Signal,EMA_9_Rising,EMA_34_Rising,PPO_Rising,PMO_Rising,EMA_9_Declining,EMA_34_Declining,PPO_Declining,PMO_Declining,TR_Status,Peak,Valley,Buy_Point,Days_From_Peak,Peak_Date,In_Buy_Zone,Distance_From_BP,Buy_Zone_Lower,Buy_Zone_Upper,Stop_Loss,Risk_Per_Share,Risk_Percentage,Buy_Signal,Exit_Signal,Exit_Reason,TR_Status_Enhanced,RS,Chaikin_AD
WDC,Weekly,2025-05-09,30320032,43.95,45.61,43.6,44.1,44.1,44.1,44.1,44.1,0.0,0.0,0.0,,,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
WDC,Weekly,2025-05-16,36925822,46.88,50.27,46.4,49.99,47.045,45.278000000000006,44.66095238095238,44.436571428571426,1.0549991555912672,0.21099983111825346,0.8439993244730137,133.56009070294795,133.56009070294795,False,False,False,False,True,True,True,True,Neutral Buy,False,False,,,,False,,,,,,,False,False,,Neutral Buy ↑,50.0,50.0
WDC,Weekly,2025-05-23,29058655,49.06,51.59,49.0,50.18,48.6125,46.25840000000001,45.186575963718816,44.76476734693877,1.8858726347237378,0.5459743918393504,1.3398982428843875,132.87353339844574,133.43526210212934,False,False,False,False,True,True,True,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
WDC,Weekly,2025-05-30,25130943,51.07,53.35,50.62,51.55,50.08125,47.31672000000001,45.79261634812655,45.1524949271137,2.7364059520824315,0.9840607038879667,1.7523452481944648,131.7282909421212,133.12490370940057,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,50.0,50.0
WDC,Weekly,2025-06-06,31523403,51.43,56.75,51.17,55.45,52.765625,48.943376000000015,46.7123671721145,45.74092378842148,4.006740999068325,1.5885967629240385,2.418144236144286,130.4529986486406,132.63910278926238,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,54.9,50.0
WDC,Weekly,2025-06-13,32292882,56.53,57.45,54.6,55.7,54.2328125,50.294700800000015,47.56833220334169,46.310013857654546,4.9582740095115145,2.262532212241534,2.6957417972699806,128.6968920995939,131.92233720932265,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.6,50.0
WDC,Weekly,2025-06-20,31242993,56.49,60.59,56.27,59.29,56.76140625,52.09376064000001,48.68468151730915,47.051727351502855,6.184077722065195,3.046841314206266,3.1372364078589285,126.85638587698938,131.0012551488984,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,53.4,50.0
WDC,Weekly,2025-06-27,27751194,59.0,63.76,58.66,63.29,60.025703125,54.33300851200001,50.075664229946376,47.97962864570269,7.632970162639392,3.9640670838928913,3.6689030787465007,124.9694380553085,129.90456113188205,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,53.9,50.0
WDC,Weekly,2025-07-04,23722617,63.6,66.83,62.94,66.08,63.052851562499995,56.68240680960002,51.59988668423719,49.01393558023396,9.015672719438998,4.974388211002113,4.041284508436885,122.92907446924247,128.63629082958394,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,52.8,50.0
WDC,Weekly,2025-07-11,32378675,65.8,66.63,63.67,66.14,64.59642578124999,58.57392544768002,52.98465938097651,49.99256783279202,9.923853989150354,5.964281366631761,3.9595726225185928,120.53997498086078,127.16423340254336,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,52.7,100.0
WDC,Weekly,2025-07-18,26702420,66.04,68.52,65.24,68.0,66.298212890625,60.45914035814402,54.414691820883505,51.02156395663248,10.716648332217806,6.914754759748971,3.8018935724688356,118.00951266736776,125.49973872342052,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,52.5,100.0
WDC,Weekly,2025-07-25,32370023,68.19,69.72,66.04,68.82,67.5591064453125,62.13131228651521,55.78662593318031,52.03861744482491,11.264911192247432,7.784786046248664,3.480125145998768,115.28665365801814,123.64281416607463,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.3,100.0
WDC,Weekly,2025-08-01,60156758,69.4,78.8,68.67,76.55,72.05455322265624,65.01504982921217,57.764090130020286,53.439267876549195,12.507611189612813,8.729351074921494,3.778260114691319,112.94429183659375,121.6976282879872,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,51.2,100.0
WDC,Weekly,2025-08-08,30565096,77.77,78.21,73.44,74.97,73.51227661132812,67.00603986336975,59.402748212875494,54.66959542646067,13.040658204640115,9.591612500865219,3.449045703774896,110.23595410906205,119.61368752818262,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,64.6,92.85714285714286
WDC,Weekly,2025-08-15,31177764,75.32,77.18,74.37,75.06,74.28613830566405,68.6168318906958,60.89391504974449,55.83476140209149,13.258061380718106,10.324902276835797,2.933159103882309,107.3447794163988,117.38297696240373,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,59.5,86.66666666666667
WDC,Weekly,2025-08-22,26453224,74.79,77.35,73.14,76.97,75.62806915283203,70.28746551255665,62.424970759292634,57.04248932197197,13.454462728935527,10.950814367255743,2.503648361679783,104.4409530531049,115.02988170616757,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,60.2,93.75
WDC,Weekly,2025-08-29,29224662,76.97,82.32,76.7,80.34,77.98403457641601,72.29797241004532,64.13116402031238,58.373775646430715,13.792535179725657,11.519158529749726,2.2733766499759316,101.63870110319324,112.59512159653588,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,60.2,100.0
WDC,Weekly,2025-09-05,51283253,78.52,93.1,77.9,92.04,85.012017288208,76.24637792803625,66.78914839933024,60.2975598952061,15.124316725331349,12.240190168866052,2.884126556465297,99.47694807116807,110.20999913737808,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,65.6,100.0
WDC,Weekly,2025-09-12,37831053,92.54,98.86,91.65,97.66,91.336008644104,80.529102342429,69.72922950415594,62.43255647262289,16.435036411344647,13.07915941736177,3.3558769939828768,97.42647371018818,107.88572178697991,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,68.2,100.0
WDC,Weekly,2025-09-19,51465522,100.44,107.18,99.72,106.63,98.983004322052,85.7492818739432,73.24358859899823,64.95812467418729,17.9929602005412,14.061919573997658,3.9310406265435436,95.64483979473567,105.66010687929915,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,71.1,100.0
WDC,Weekly,2025-09-26,39493837,107.21,113.75,105.42,106.88,102.931502161026,89.97542549915457,76.44705635147459,67.35366040709087,18.83356990142561,15.016249639483249,3.81732026194236,93.6287860317769,103.47259399793147,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,68.4,95.23809523809523
WDC,Weekly,2025-10-03,70198052,112.02,137.4,111.83,131.31,117.120751080513,98.24234039932365,81.67209860371511,71.00830838382853,21.238129670045982,16.260625645595795,4.977504024450187,92.6200698045112,101.49940778094596,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,75.9,100.0
WDC,Weekly,2025-10-10,47206809,135.0,136.2,115.03,115.42,116.27037554025651,101.67787231945893,84.88618445098034,73.54611933332404,21.260764864171552,17.260653489310947,4.000111374860605,90.62779949921182,99.52275172972156,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,67.7,86.95652173913044
WDC,Weekly,2025-10-17,46923322,122.25,130.4,112.52,126.2,121.23518777012825,106.58229785556716,88.82083355088696,76.55491251427695,21.773955293358007,18.16331385012036,3.610641443237647,88.94006706958604,97.59862724606054,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,69.5,91.66666666666666
WDC,Weekly,2025-10-24,37610341,128.94,133.54,117.23,129.43,125.33259388506413,111.15183828445373,92.68837321270725,79.57634608488969,22.01860492799481,18.93437206569525,3.0842328622995616,87.16274135697259,95.70119344804453,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,69.4,96.0
WDC,Weekly,2025-10-31,66559026,133.0,157.65,121.85,150.21,137.77129694253208,118.963470627563,98.16662338292561,83.61255488003884,23.28708542989473,19.804914738535146,3.4821706913595847,86.03231416310717,93.94321539623773,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral,65.3,100.0
WDC,Weekly,2025-11-07,49892477,152.07,167.5,148.05,162.96,150.36564847126604,127.7627765020504,104.33742115598031,88.14669460117948,24.59097875721899,20.762127542271916,3.8288512149470755,85.06027638741783,92.32813557645228,True,True,True,False,False,False,False,True,Neutral,False,False,,,,False,,,,,,,False,False,,Neutral *,99.0,100.0
