feature,importance
max_loss_pct,0.38930002
max_gain_pct,0.08982739
cloud_thickness,0.08750846
distance_to_ema200_pct,0.059392475
distance_to_cloud_top,0.057695944
distance_to_ema13_pct,0.03871567
distance_to_cloud_bottom_pct,0.036298618
ema_13_30_spread,0.036023762
ema_200,0.03590187
distance_to_cloud_bottom,0.027822826
distance_to_cloud_top_pct,0.025619825
cloud_thickness_pct,0.024104757
ema_13,0.01955849
ema_30_200_spread,0.018338257
ema_30_200_spread_pct,0.01768394
distance_to_ema30_pct,0.0102962805
trend_strength,0.0096982075
ema_13_30_spread_pct,0.009281596
cloud_bottom,0.0069317007
ema_30,0.0
price_position_numeric,0.0
cloud_top,0.0
price_above_ema30,0.0
ema_alignment_bearish,0.0
price_above_ema13,0.0
ema_alignment_bullish,0.0
price_above_ema200,0.0
cloud_as_support,0.0
cloud_as_resistance,0.0
