Symbol,Name,Exchange,Sector,Sector Name,S&P 500,Industry
A,"Agilent Technologies, Inc.",NYSE,XLV,,True,Medical Supplies
AA,Alcoa Corp.,NYSE,XLB,,False,Gold Mining
AACG,ATA Inc.,NASD,XLY,,False,Specialty Retailers
AADI,"Aadi Biosciences, Inc.",NASD,XLV,,False,Pharmaceuticals
AAGIY,AIA Group Ltd.,OTCM,XLF,,False,Specialty Finance
AAIC,Arlington Asset Investment Corp.,NYSE,XLRE,,False,Diversified REITs
AAL,American Airlines Group Inc.,NASD,XLI,,False,Building Materials
AAMC,Altisource Asset Management Corp.,AMEX,XLF,,False,Life Insurance
AAME,Atlantic American Corp.,NASD,XLF,,False,Asset Managers
AAN,Aarons Company Inc.,NYSE,XLY,,False,Durable Household Products
AAOI,Applied Optoelectronics Inc.,NASD,XLK,,False,Computer Hardware
AAON,"AAON, Inc.",NASD,XLI,,False,Industrial Machinery
AAP,Advance Auto Parts Inc.,NYSE,XLY,,False,Specialty Retailers
AAPL,"Apple, Inc.",NASD,XLK,,True,Electronic Equipment
AAT,American Assets Trust Inc.,NYSE,XLRE,,False,Mortgage REITs
AATC,Autoscope Technologies Corporation,OTCM,XLK,,False,Telecom Equipment
AAU,Almaden Minerals Ltd.,AMEX,XLB,,False,Steel
AB,AllianceBernstein Holding LP,NYSE,XLF,,False,Investment Services
ABBNY,ABB Ltd.,OTCM,XLI,,False,Business Support Services
ABBV,AbbVie Inc.,NYSE,XLV,,True,Biotechnology
ABC,AmerisourceBergen Corp.,NYSE,XLV,,False,Health Care Providers
ABCB,Ameris Bancorp,NASD,XLF,,False,Banks
ABCL,AbCellera Biologics Inc.,NASD,XLV,,False,Biotechnology
ABCM,Abcam Plc,NASD,XLV,,False,Biotechnology
ABEO,Abeona Therapeutics Inc.,NASD,XLV,,False,Pharmaceuticals
ABEV,Ambev SA,NYSE,XLP,,False,Food Retailers
ABG,Asbury Automotive Group Inc.,NYSE,XLY,,False,Travel & Tourism
ABIO,"ARCA biopharma, Inc.",NASD,XLV,,False,Pharmaceuticals
ABM,"ABM Industries, Inc.",NYSE,XLI,,False,Commercial Vehicles
ABNB,Airbnb Inc.,NASD,XLY,,True,Special Consumer Services
ABOS,Acumen Pharmaceuticals Inc.,NASD,XLV,,False,Pharmaceuticals
ABR,Arbor Realty Trust Inc.,NYSE,XLRE,,False,Mortgage REITs
ABSI,Absci Corp.,NASD,XLV,,False,Biotechnology
ABT,Abbott Laboratories,NYSE,XLV,,True,Pharmaceuticals
ABUS,Arbutus Biopharma Corp.,NASD,XLV,,False,Pharmaceuticals
ABVC,ABVC BioPharma Inc.,NASD,XLV,,False,Pharmaceuticals
AC,"Associated Capital Group, Inc.",NYSE,XLF,,False,Financial Administration
ACA,"Arcosa, Inc.",NYSE,XLI,,False,Business Support Services
ACAD,Acadia Pharmaceuticals Inc.,NASD,XLV,,False,Biotechnology
ACAN,"Americann, Inc.",OTCM,XLI,,False,Heavy Construction
ACB,Aurora Cannabis Inc.,NASD,XLV,,False,Pharmaceuticals
ACCD,Accolade Inc.,NASD,XLK,,False,Software
ACCO,Acco Brands Corp.,NYSE,XLY,,False,Durable Household Products
ACDC,ProFrac Holding Corp.,NASD,XLE,,False,Exploration & Production
ACEL,Accel Entertainment Inc,NYSE,XLF,,False,Property-Casualty Insurance
ACER,"Acer Therapeutics, Inc.",NASD,XLV,,False,Biotechnology
ACET,"Adicet Bio, Inc.",NASD,XLV,,False,Biotechnology
ACFN,"Acorn Energy, Inc.",OTCM,XLK,,False,Software
ACGBY,Agricultural Bank of China Limited,OTCM,XLF,,False,Banks
ACGL,Arch Capt. Grp. Ltd.,NASD,XLF,,True,Property-Casualty Insurance
ACGLO,Arch Capital Group Ltd.,NASD,XLF,,False,Mortgage Finance
ACGN,"Aceragen, Inc.",NASD,XLV,,False,Biotechnology
ACHC,"Acadia Healthcare Company, Inc.",NASD,XLV,,False,Health Care Providers
ACHL,Achilles Therapeutics Plc,NASD,XLV,,False,Pharmaceuticals
ACHV,"Achieve Life Sciences, Inc.",NASD,XLV,,False,Pharmaceuticals
ACI,"Albertsons Companies, Inc",NYSE,XLP,,False,Food Products
ACIU,AC Immune SA,NASD,XLV,,False,Biotechnology
ACIW,ACI Worldwide Inc.,NASD,XLK,,False,Semiconductors
ACLS,"Axcelis Technologies, Inc.",NASD,XLK,,False,Semiconductors
ACLX,Arcellx Inc.,NASD,XLV,,False,Pharmaceuticals
ACM,Aecom Technology Corp.,NYSE,XLI,,False,Business Support Services
ACMR,"ACM Research, Inc.",NASD,XLK,,False,Software
ACN,Accenture Ltd.,NYSE,XLK,,True,Software
ACNB,Acnb,NASD,XLF,,False,Banks
ACNT,Ascent Industries Co.,NASD,XLB,,False,Gold Mining
ACON,Aclarion Inc.,NASD,XLV,,False,Biotechnology
ACOR,Acorda Therapeutics Inc.,NASD,XLV,,False,Biotechnology
ACR,ACRES Commercial Realty Corp.,NYSE,XLRE,,False,Mortgage REITs
ACRE,Ares Commercial Real Estate Corp.,NYSE,XLRE,,False,Retail REITs
ACRS,"Aclaris Therapeutics, Inc.",NASD,XLV,,False,Biotechnology
ACRV,Acrivon Therapeutics Inc.,NASD,XLV,,False,Pharmaceuticals
ACRX,AcelRx Pharmaceuticals Inc.,NASD,XLV,,False,Pharmaceuticals
ACST,Acasti Pharma Inc.,NASD,XLV,,False,Pharmaceuticals
ACT,Enact Holdings Inc.,NASD,XLF,,False,Life Insurance
ACTG,Acacia Technologies Group,NASD,XLI,,False,Building Materials
ACU,Acme United Corp.,AMEX,XLY,,False,Footwear
ACVA,ACV Auctions Inc.,NASD,XLK,,False,Software
ACXP,Acurx Pharmaceuticals Inc.,NASD,XLV,,False,Pharmaceuticals
ADAG,Adagene Inc.,NASD,XLV,,False,Biotechnology
ADAP,Adaptimmune Therapeutics plc,NASD,XLV,,False,Biotechnology
ADBE,"Adobe Systems, Inc.",NASD,XLK,,True,Semiconductors
ADC,Agree Realty Corp.,NYSE,XLRE,,False,Real Estate Development
ADCT,ADC Therapeutics SA,NYSE,XLV,,False,Biotechnology
ADD,Color Star Technology Co. Ltd.,NASD,XLI,,False,Business Support Services
ADDYY,Adidas AG,OTCM,XLY,,False,Auto Parts
ADEA,Adeia Inc.,NASD,XLK,,False,Semiconductors
ADES,"Advanced Emissions Solutions, Inc.",NASD,XLI,,False,Transportation Services
ADI,"Analog Devices, Inc.",NASD,XLK,,True,Software
ADIL,"Adial Pharmaceuticals, Inc.",NASD,XLV,,False,Biotechnology
ADM,Archer Daniels Midland Co.,NYSE,XLP,,True,Food Products
ADMA,"ADMA Biologics, Inc.",NASD,XLV,,False,Biotechnology
ADMP,Adamis Pharmaceuticals Corp.,NASD,XLV,,False,Pharmaceuticals
ADN,"Advent Technologies Holdings, Inc.",NASD,XLU,,False,Multiutilities
ADNT,Adient plc,NYSE,XLY,,False,Apparel Retailers
ADP,"Automatic Data Processing, Inc.",NASD,XLI,,True,Industrial Machinery
ADPT,Adaptive Biotechnologies Corp.,NASD,XLV,,False,Biotechnology
ADSE,Ads-Tec Energy Plc,NASD,XLI,,False,Diversified Industrials
ADSK,"Autodesk, Inc.",NASD,XLK,,True,Semiconductors
ADT,ADT Inc,NYSE,XLI,,False,Building Materials
ADTH,AdTheorent Holding Company Inc.,NASD,XLC,,False,Media Agencies
ADTN,"ADTRAN, Inc.",NASD,XLK,,False,Telecom Equipment
ADTX,Aditx Therapeutics Inc.,NASD,XLV,,False,Biotechnology
ADUS,Addus HomeCare Corp.,NASD,XLV,,False,Medical Equipment
ADV,Advantage Solutions Inc.,NASD,XLC,,False,Entertainment
ADVM,"Adverum Biotechnologies, Inc.",NASD,XLV,,False,Biotechnology
ADXN,Addex Therapeutics Ltd.,NASD,XLV,,False,Pharmaceuticals
ADXS,Advaxis Inc.,OTCM,XLV,,False,Biotechnology
AE,"Adams Resources & Energy, Inc.",AMEX,XLE,,False,Oil Equipment & Services
AEE,Ameren Corp.,NYSE,XLU,,True,Conventional Electricity
AEG,Aegon NV,NYSE,XLF,,False,Life Insurance
AEHL,Antelope Enterprise Holdings Limited,NASD,XLI,,False,Heavy Construction
AEHR,Aehr Test Systems,NASD,XLK,,False,Semiconductors
AEI,Alset EHome International Inc.,NASD,XLRE,,False,Specialty REITs
AEIS,"Advanced Energy Industries, Inc.",NASD,XLK,,False,Software
AEL,American Equity Investment Life Holding Company,NYSE,XLF,,False,Property-Casualty Insurance
AEM,Agnico Eagle Mines Ltd.,NYSE,XLB,,False,Gold Mining
AEMD,Aethion Medical,NASD,XLV,,False,Medical Equipment
AENZ,Aenza S.A.A.,NYSE,XLI,,False,Defense
AEO,"American Eagle Outfitters, Inc.",NYSE,XLY,,False,Auto Parts
AEP,"American Elec Pwr Co., Inc.",NYSE,XLU,,True,Conventional Electricity
AER,AerCap Holdings NV,NYSE,XLI,,False,Transportation Services
AERG,"Applied Energetics, Inc.",OTCM,XLI,,False,Airlines
AES,AES Corp.,NYSE,XLU,,True,Multiutilities
AESI,Atlas Energy Solutions Inc.,NYSE,XLE,,False,Exploration & Production
AEVA,"Aeva Technologies, Inc.",NYSE,XLY,,False,Business Training Agencies
AEY,Addvantage Technologies Group,NASD,XLK,,False,Computer Services
AEYE,"AudioEye, Inc.",NASD,XLK,,False,Software
AEZS,AEterna Zentaris Inc.,NASD,XLV,,False,Biotechnology
AFBI,Affinity Bancshares Inc.,NASD,XLF,,False,Banks
AFCG,AFC Gamma Inc.,NASD,XLRE,,False,Mortgage REITs
AFG,"American Fncl Group, Inc.",NYSE,XLF,,False,Life Insurance
AFIB,Acutus Medical Inc.,NASD,XLV,,False,Health Care Providers
AFL,"Aflac, Inc.",NYSE,XLF,,True,Mortgage Finance
AFLYY,Air France KLM,OTCM,XLI,,False,Commercial Vehicles
AFMD,Affimed Therapeutics BV,NASD,XLV,,False,Pharmaceuticals
AFRI,Forafric Global Plc,NASD,XLP,,False,Food Products
AFRM,Affirm Holdings Inc.,NASD,XLK,,False,Computer Hardware
AFYA,Afya Ltd.,NASD,XLY,,False,Gambling
AG,First Majestic Silver Corp.,NYSE,XLB,,False,Gold Mining
AGAE,Allied Gaming & Entertainment Inc.,NASD,XLC,,False,Entertainment
AGCO,AGCO Corp.,NYSE,XLI,,False,Industrial Suppliers
AGE,"AgeX Therapeutics, Inc.",AMEX,XLV,,False,Biotechnology
AGEN,Agenus Inc.,NASD,XLV,,False,Biotechnology
AGFY,Agrify Corp.,NASD,XLI,,False,Industrial Suppliers
AGI,Alamos Gold Inc.,NYSE,XLB,,False,Gold Mining
AGIL,AgileThought Inc.,NASD,XLK,,False,Software
AGIO,"Agios Pharmaceuticals, Inc.",NASD,XLV,,False,Biotechnology
AGL,Agilon Health Inc.,NYSE,XLV,,False,Health Care Providers
AGLE,"Aeglea BioTherapeutics, Inc.",NASD,XLV,,False,Biotechnology
AGM,Federal Agricultural Mortgage,NYSE,XLF,,False,Property-Casualty Insurance
AGMH,"AGM Group Holdings, Inc.",NASD,XLK,,False,Software
AGNC,AGNC Investment Corp.,NASD,XLRE,,False,Mortgage REITs
AGNCO,AGNC Investment Corp,NASD,XLRE,,False,Mortgage REITs
AGNCP,AGNC Investment Corp,NASD,XLRE,,False,Diversified REITs
AGO,Assured Guaranty Ltd.,NYSE,XLF,,False,Investment Services
AGR,"Avangrid, Inc.",NYSE,XLU,,False,Conventional Electricity
AGRI,AgriFORCE Growing Systems Ltd.,NASD,XLI,,False,Heavy Construction
AGRO,Adecoagro SA,NYSE,XLP,,False,Soft Drinks
AGRX,Agile Therapeutics Inc.,NASD,XLV,,False,Pharmaceuticals
AGS,"PlayAGS, Inc.",NYSE,XLY,,False,Clothing & Accessories
AGTI,Agiliti Inc.,NYSE,XLV,,False,Medical Equipment
AGX,"Argan, Inc.",NYSE,XLI,,False,Industrial Machinery
AGYS,Agilysys Inc.,NASD,XLK,,False,Computer Services
AHCO,AdaptHealth Corp,NASD,XLV,,False,Health Care Providers
AHG,Akso Health Group,NASD,XLF,,False,Full Line Insurance
AHH,"Armada Hoffler Properties, Inc.",NYSE,XLRE,,False,Hotel & Lodging REITs
AHI,Advanced Human Imaging Limited,NASD,XLK,,False,Software
AHT,Ashford Hospitality Trust Inc.,NYSE,XLRE,,False,Mortgage REITs
AI,C3.ai Inc.,NYSE,XLK,,False,Semiconductors
AIAD,"aiAdvertising, Inc.",OTCM,XLK,,False,Telecom Equipment
AIC,Arlington Asset Investment Corp.,NYSE,XLRE,,False,Residential REITs
AIG,"American Intl Group, Inc.",NYSE,XLF,,True,Specialty Finance
AIH,Aesthetic Medical International Holdings Group Ltd,NASD,XLV,,False,Health Care Providers
AIHS,Senmiao Technology Ltd.,NASD,XLF,,False,Asset Managers
AIM,AIM ImmunoTech Inc,AMEX,XLV,,False,Biotechnology
AIMD,Ainos Inc.,NASD,XLV,,False,Pharmaceuticals
AIN,Albany Intl Corp.,NYSE,XLI,,False,Aerospace
AINC,Ashford Inc.,AMEX,XLF,,False,Life Insurance
AIP,Arteris Inc.,NASD,XLK,,False,Software
AIR,AAR Corp.,NYSE,XLI,,False,Defense
AIRC,Apartment Income REIT Corp.,NYSE,XLRE,,False,Residential REITs
AIRG,"Airgain, Inc.",NASD,XLK,,False,Telecom Equipment
AIRI,"Air Industries Group, Inc.",AMEX,XLI,,False,Delivery Services
AIRS,Airsculpt Technologies Inc.,NASD,XLV,,False,Health Care Providers
AIRT,"Air T, Inc.",NASD,XLI,,False,Industrial Suppliers
AIT,Applied Industrial Technologies Inc.,NYSE,XLI,,False,Commercial Vehicles
AIU,Meta Data Limited,NYSE,XLY,,False,Special Consumer Services
AIV,Apartment Investment and Management Co.,NYSE,XLRE,,False,Mortgage REITs
AIXI,Xiao-I Corp.,NASD,XLK,,False,Software
AIZ,Assurant Inc.,NYSE,XLF,,True,Property-Casualty Insurance
AJG,Gallagher Arthur J & Co.,NYSE,XLF,,True,Property-Casualty Insurance
AJX,Great Ajax Corp.,NYSE,XLRE,,False,Retail REITs
AKA,A.K.A. Brands Holding Corp.,NYSE,XLY,,False,Auto Parts
AKAM,"Akamai Technologies, Inc.",NASD,XLK,,True,Software
AKAN,Akanda Corp.,NASD,XLV,,False,Pharmaceuticals
AKBA,"Akebia Therapeutics, Inc.",NASD,XLV,,False,Pharmaceuticals
AKEMF,Alaska Energy Metals Corp.,OTCM,XLB,,False,Specialty Chemicals
AKO/A,Embotelladora Andina SA,NYSE,XLP,,False,Soft Drinks
AKO/B,Embotelladora Andina SA,NYSE,XLP,,False,Food Products
AKR,Acadia Realty Trust,NYSE,XLRE,,False,Real Estate Development
AKRO,Akero Therapeutics Inc.,NASD,XLV,,False,Biotechnology
AKTS,"Akoustis Technologies, Inc.",NASD,XLK,,False,Renewable Energy Equipment
AKTX,Akari Therapeutics Plc,NASD,XLV,,False,Biotechnology
AKU,Akumin Inc.,NASD,XLV,,False,Health Care Providers
AKYA,Akoya Biosciences Inc.,NASD,XLV,,False,Biotechnology
AKZOY,Akzo Nobel N.V.,OTCM,XLB,,False,Specialty Chemicals
AL,Air Lease Corp.,NYSE,XLI,,False,Marine Transportation
ALAR,Alarum Technologies Ltd.,NASD,XLK,,False,Semiconductors
ALB,Albemarle Corp.,NYSE,XLB,,True,Specialty Chemicals
ALBKY,Alpha Bank A.E.,OTCM,XLF,,False,Banks
ALBT,Avalon GloboCare Corp.,NASD,XLV,,False,Health Care Providers
ALC,"Alcon, Inc.",NYSE,XLV,,False,Medical Supplies
ALCO,"Alico, Inc.",NASD,XLP,,False,Food Products
ALDX,"Aldeyra Therapeutics, Inc.",NASD,XLV,,False,Biotechnology
ALE,Allete Inc.,NYSE,XLU,,False,Multiutilities
ALEC,Alector Inc.,NASD,XLV,,False,Biotechnology
ALEX,"Alexander & Baldwin, Inc.",NYSE,XLRE,,False,Retail REITs
ALG,"Alamo Group, Inc.",NYSE,XLI,,False,Airlines
ALGM,Allegro Microsystems Inc.,NASD,XLK,,False,Software
ALGN,"Align Technology, Inc.",NASD,XLV,,True,Health Care Providers
ALGS,Aligos Therapeutics Inc.,NASD,XLV,,False,Biotechnology
ALGT,Allegiant Travel Co.,NASD,XLI,,False,Airlines
ALHC,Alignment Healthcare Inc.,NASD,XLV,,False,Health Care Providers
ALIM,"Alimera Sciences, Inc.",NASD,XLV,,False,Pharmaceuticals
ALK,"Alaska Air Group, Inc.",NYSE,XLI,,False,Business Support Services
ALKS,"Alkermes, Inc.",NASD,XLV,,False,Pharmaceuticals
ALKT,Alkami Technology Inc.,NASD,XLK,,False,Software
XNYS:ALL,Allstate Corp.,NYSE,XLF,,False,Property-Casualty Insurance
ALL/PB,Allstate Corp.,NYSE,XLF,,False,Asset Managers
ALLE,Allegion Public Ltd. Co.,NYSE,XLI,,True,Industrial Machinery
ALLG,Allego NV,NYSE,XLK,,False,Computer Hardware
ALLK,Allakos Inc.,NASD,XLV,,False,Biotechnology
ALLO,"Allogene Therapeutics, Inc.",NASD,XLV,,False,Biotechnology
ALLR,Allarity Therapeutics Inc.,NASD,XLV,,False,Pharmaceuticals
ALLT,Allot Ltd.,NASD,XLK,,False,Software
ALLY,Ally Financial Inc.,NYSE,XLF,,False,Banks
ALNY,"Alnylam Pharmaceuticals, Inc.",NASD,XLV,,False,Biotechnology
ALOT,"Astro-Med, Inc.",NASD,XLK,,False,Computer Services
ALPMY,"Astellas Pharma, Inc.",OTCM,XLV,,False,Pharmaceuticals
ALPN,"Alpine Immune Sciences, Inc.",NASD,XLV,,False,Biotechnology
ALPP,Alpine 4 Technologies Ltd.,NASD,XLI,,False,Industrial Machinery
ALPSQ,Alpine Summit Energy Partners Inc.,OTCM,XLE,,False,Integrated Oil & Gas
ALRM,"Alarm.com Holdings, Inc.",NASD,XLK,,False,Software
ALRN,Aileron Therapeutics Inc.,NASD,XLV,,False,Biotechnology
ALRS,Alerus Financial Corp.,NASD,XLF,,False,Banks
ALSMY,Alstom S.A.,OTCM,XLI,,False,Commercial Vehicles
ALSN,"Allison Transmission Holdings, Inc.",NYSE,XLI,,False,Industrial Machinery
ALT,"Altimmune, Inc.",NASD,XLV,,False,Biotechnology
ALTG,Alta Equipment Group Inc,NYSE,XLI,,False,Diversified Industrials
ALTI,Alvarium Tiedemann Holdings Inc.,NASD,XLF,,False,Property-Casualty Insurance
ALTO,Alto Ingredients Inc,NASD,XLB,,False,Containers & Packaging
ALTR,"Altair Engineering, Inc.",NASD,XLK,,False,Semiconductors
ALV,"Autoliv, Inc.",NYSE,XLY,,False,Recreational Services
ALVO,Alvotech,NASD,XLV,,False,Pharmaceuticals
ALVR,AlloVir Inc.,NASD,XLV,,False,Biotechnology
ALX,"Alexanders, Inc.",NYSE,XLRE,,False,Residential REITs
ALXO,Alx Oncology Holdings Inc.,NASD,XLV,,False,Biotechnology
ALYA,Alithya Group Inc.,NASD,XLK,,False,Electronic Equipment
ALZN,Alzamend Neuro Inc.,NASD,XLV,,False,Biotechnology
AM,Antero Midstream Corp.,NYSE,XLE,,False,Exploration & Production
AMAL,Amalgamated Bank,NASD,XLF,,False,Banks
AMAM,Ambrx Biopharma Inc.,NASD,XLV,,False,Biotechnology
AMAT,"Applied Materials, Inc.",NASD,XLK,,True,Semiconductors
AMBA,"Ambarella, Inc.",NASD,XLK,,False,Semiconductors
AMBC,"Ambac Financial Group, Inc.",NASD,XLF,,False,Asset Managers
AMBO,Ambow Education Holding Ltd.,AMEX,XLY,,False,Specialty Retailers
AMBP,Ardagh Metal Packaging SA,NYSE,XLB,,False,Containers & Packaging
AMBS,"Amarantus Bioscience Holdings, Inc.",OTCM,XLV,,False,Biotechnology
AMC,AMC Entertainment Holdings Inc.,NYSE,XLY,,False,Broadline Retailers
AMCR,Amcor plc,NYSE,XLB,,True,Gold Mining
AMCX,AMC Networks Inc.,NASD,XLC,,False,Entertainment
AMD,"Advanced Micro Devices, Inc.",NASD,XLK,,True,Semiconductors
AME,"Ametek, Inc.",NYSE,XLI,,True,Commercial Vehicles
AMED,Amedisys,NASD,XLV,,False,Health Care Providers
AMEH,"Apollo Medical Holdings, Inc",NASD,XLV,,False,Health Care Providers
AMG,Affiliated Managers Group Inc.,NYSE,XLF,,False,Asset Managers
AMGN,"Amgen, Inc.",NASD,XLV,,True,Biotechnology
AMH,American Homes 4 Rent,NYSE,XLRE,,False,Specialty REITs
AMK,AssetMark Financial Holdings Inc.,NYSE,XLF,,False,Specialty Finance
AMKBY,AP Moeller-Maersk A/S,OTCM,XLI,,False,Waste & Disposal Services
AMKR,"Amkor Technology, Inc.",NASD,XLK,,False,Software
AMLM,"American Lithium Minerals, Inc.",OTCM,XLF,,False,Investment Services
AMLX,Amylyx Pharmaceuticals Inc.,NASD,XLV,,False,Pharmaceuticals
AMMJ,"American Cannabis Company, Inc.",OTCM,XLV,,False,Pharmaceuticals
AMMX,"AmeraMex Intl, Inc.",OTCM,XLI,,False,Industrial Suppliers
AMN,"AMN Healthcare Services, Inc.",NYSE,XLV,,False,Medical Equipment
AMNB,"American National Bankshares, Inc.",NASD,XLF,,False,Banks
AMNF,"Armanino Foods of Distinction, Inc.",OTCM,XLP,,False,Food Products
AMOT,Allied Motion Technologies Inc.,NASD,XLK,,False,Electrical Components
AMP,Ameriprise Financial Inc.,NYSE,XLF,,True,Life Insurance
AMPE,"Ampio Pharmaceuticals, Inc.",AMEX,XLV,,False,Pharmaceuticals
AMPG,"AmpliTech Group, Inc.",NASD,XLC,,False,Mobile Telecommunications
AMPH,"Amphastar Pharmaceuticals, Inc.",NASD,XLV,,False,Pharmaceuticals
AMPL,Amplitude Inc.,NASD,XLK,,False,Software
AMPS,"Altus Power, Inc.",NYSE,XLU,,False,Conventional Electricity
AMPX,Amprius Technologies Inc.,NYSE,XLI,,False,Heavy Construction
AMPY,Amplify Energy Corp.,NYSE,XLE,,False,Coal
AMR,"Alpha Metallurgical Resources, Inc.",NYSE,XLE,,False,Exploration & Production
AMRC,Ameresco Inc.,NYSE,XLI,,False,Building Materials
AMRK,"A-Mark Precious Metals, Inc.",NASD,XLB,,False,Specialty Chemicals
AMRN,Amarin Corp. PLC ADS,NASD,XLV,,False,Pharmaceuticals
AMRS,Amyris Inc.,NASD,XLB,,False,Specialty Chemicals
AMRX,"Amneal Pharmaceuticals, Inc.",NYSE,XLV,,False,Pharmaceuticals
AMS,American Shared Hospital Services,AMEX,XLV,,False,Health Care Providers
AMSC,American Superconductor Corp.,NASD,XLK,,False,Telecom Equipment
AMSF,"AMERISAFE, Inc.",NASD,XLF,,False,Investment Services
AMST,Amesite Operating Co,NASD,XLK,,False,Software
AMSWA,"American Software, Inc.",NASD,XLK,,False,Software
AMT,American Tower Corp.,NYSE,XLRE,,True,Hotel & Lodging REITs
AMTB,Amerant Bancorp Inc.,NASD,XLF,,False,Banks
AMTD,"AMTD International, Inc.",NYSE,XLF,,False,Mortgage Finance
AMTI,Applied Molecular Transport Inc.,NASD,XLV,,False,Biotechnology
AMTX,"Aemetis, Inc.",NASD,XLB,,False,General Mining
AMWD,American Woodmark Corp.,NASD,XLI,,False,Building Materials
AMWL,American Well Corporation,NYSE,XLV,,False,Medical Supplies
AMX,America Movil S.A. de CV,NYSE,XLC,,False,Media Agencies
AMYZF,American Manganese Inc.,OTCM,XLB,,False,Steel
AMZN,"Amazon.com, Inc.",NASD,XLY,,True,Apparel Retailers
AN,"Autonation, Inc.",NYSE,XLY,,False,Special Consumer Services
ANAB,"AnaptysBio, Inc.",NASD,XLV,,False,Biotechnology
ANDE,"Andersons, Inc.",NASD,XLP,,False,Food Products
ANEB,Anebulo Pharmaceuticals Inc.,NASD,XLV,,False,Pharmaceuticals
ANET,"Arista Networks, Inc.",NYSE,XLK,,True,Electronic Equipment
ANF,Abercrombie & Fitch Co.,NYSE,XLY,,False,Recreational Products
ANGI,Angie's List Inc.,NASD,XLY,,False,Special Consumer Services
ANGO,AngioDynamics Inc.,NASD,XLV,,False,Medical Supplies
ANIK,"Anika Therapeutics, Inc.",NASD,XLV,,False,Medical Equipment
ANIP,"ANI Pharmaceuticals, Inc.",NASD,XLV,,False,Pharmaceuticals
ANIX,"Anixa Biosciences, Inc.",NASD,XLV,,False,Biotechnology
ANNX,Annexon Inc.,NASD,XLV,,False,Pharmaceuticals
ANSS,"ANSYS, Inc.",NASD,XLK,,True,Semiconductors
ANTE,AirNet Technology Inc.,NASD,XLC,,False,Entertainment
ANTX,AN2 Therapeutics Inc.,NASD,XLV,,False,Pharmaceuticals
ANVS,Annovis Bio Inc.,NYSE,XLV,,False,Biotechnology
ANY,Sphere 3D Corp.,NASD,XLK,,False,Computer Services
ANZGY,ANZ Group Holdings Limited ADS,OTCM,XLF,,False,Banks
AOIFF,Africa Oil Corp.,OTCM,XLE,,False,Exploration & Production
AOMR,Angel Oak Mortgage Inc.,NYSE,XLF,,False,Insurance Brokers
AON,Aon Corp.,NYSE,XLF,,True,Asset Managers
AORT,"Artivion, Inc.",NYSE,XLV,,False,Medical Equipment
AOS,Smith AO Corp.,NYSE,XLI,,True,Diversified Industrials
AOSL,Alpha and Omega Semiconductor Ltd.,NASD,XLK,,False,Software
AOUT,American Outdoor Brands Inc.,NASD,XLY,,False,Recreational Services
AP,Ampco Pittsburgh Corp.,NYSE,XLB,,False,Commodity Chemicals
APA,APA Corporation,NASD,XLE,,True,Exploration & Production
